event,class,param,truth,exozippy,exo_err_hi,exo_err_lo,exo_pull,mmxf_sol0,mmxf_err_sol0,mmxf_pull_sol0,mmxf_sol1,mmxf_err_sol1,mmxf_pull_sol1,note
128,omcassan,t_0,2458554.8868815,,2458554.9004,0.0028,,2458554.8238334553,,,2458554.8238334553,,,
128,omcassan,u_0,0.141832,,0.14234,0.0004,,0.13120606277363886,,,0.13120606277363886,,,
128,omcassan,t_E,18.2374,,18.177,0.024,,19.1630701622593,,,19.1630701622593,,,
128,omcassan,rho,0.00606537,,0.0075,0.00045,,1.212872626449141e-06,,,0.008904392591931045,,,
128,omcassan,s,0.993145,,0.97589,0.00045,,0.8590716149893207,,,0.9821672860486524,,,
128,omcassan,q,0.0012118,,0.0010861,5.2e-06,,0.0009259770843883544,,,0.0002547434221159895,,,
128,omcassan,alpha,348.357,,-52.053,0.034,,-50.36627971968676,,,-50.474548801060585,,,
128,omcassan,mulensinstrument.Roman_W149.err_scale,,,0.93,0.01,,,,,,,,
128,omcassan,mulensinstrument.Roman_Z087.err_scale,,,1.019,0.073,,,,,,,,
