event,class,param,truth,exozippy,exo_err_hi,exo_err_lo,exo_pull,mmxf_sol0,mmxf_err_sol0,mmxf_pull_sol0,mmxf_sol1,mmxf_err_sol1,mmxf_pull_sol1,note
128,omcassan,t_0,2458554.8868815,2458554.9038,0.0017,0.0019,-8.904473660023589,2458554.8238334553,,,2458554.8238334553,,,
128,omcassan,u_0,0.141832,0.13878,0.0002,0.00021,15.260000000000133,0.13120606277363886,,,0.13120606277363886,,,
128,omcassan,t_E,18.2374,18.354,0.015,0.015,-7.773333333333218,19.1630701622593,,,19.1630701622593,,,
128,omcassan,rho,0.00606537,0.00091,0.00012,0.00013,42.96141666666666,1.212872626449141e-06,,,0.008904392591931045,,,
128,omcassan,s,0.993145,0.86321,0.0002,0.0002,649.6749999999995,0.8590716149893207,,,0.9821672860486524,,,
128,omcassan,q,0.0012118,0.000921,3.6e-06,3.8e-06,80.77777777777779,0.0009259770843883544,,,0.0002547434221159895,,,
128,omcassan,alpha,-11.642999999999972,-52.314,0.02,0.019,2033.5500000000013,-50.36627971968676,,,-50.474548801060585,,,truth mapped as alpha-360; convention approximate (still 40.7 deg off)
128,omcassan,mulensinstrument.Roman_W149.err_scale,,1.0005,0.0026,0.0027,,,,,,,,
128,omcassan,mulensinstrument.Roman_Z087.err_scale,,1.015,0.032,0.028,,,,,,,,
