2457093.57023200 1.00001300 0.00106200 -0.08237729 -1.82965806 -49.51302896 -0.18840762 -391839.55268638
2457093.57189700 1.00099800 0.00106300 -0.08071229 -1.82954406 -49.86163996 -0.18907862 -387426.23675938
2457093.57355300 1.00220500 0.00106700 -0.07905629 -1.23585006 -49.30366196 -0.18965162 -393391.55272338
2457093.57521900 0.99870000 0.00106200 -0.07739029 -1.16131406 -48.78278096 -0.19012262 -390434.70211338
2457093.57686300 1.00105500 0.00106400 -0.07574629 -0.44974106 -50.07549396 -0.19048262 -394216.85361538
2457093.57762700 1.00080000 0.00106600 -0.07498229 -0.55361506 -49.45802296 -0.19061762 -399067.56864638
2457093.57927000 1.00365900 0.00107100 -0.07333929 0.42011494 -53.52384296 -0.19083562 -415711.80042638
2457093.58090200 1.00084800 0.00106300 -0.07170729 -0.99381906 -54.49624496 -0.19095262 -391231.36824138
2457093.58256900 1.00283000 0.00106100 -0.07004029 -0.96143806 -58.04993996 -0.19097462 -394219.65216038
2457093.58423500 1.00044500 0.00106100 -0.06837429 -0.99611206 -57.59710196 -0.19088762 -397616.10945138
2457093.58556500 1.00028600 0.00105700 -0.06704429 -1.17164006 -58.33809296 -0.19074662 -392424.36372538
2457093.58719700 0.99945500 0.00105600 -0.06541229 -1.40795806 -58.34363996 -0.19048562 -390025.31376038
2457093.58886400 0.99840500 0.00105500 -0.06374529 -1.18652406 -60.99500296 -0.19011362 -397723.29085938
2457093.59053100 1.00018100 0.00105600 -0.06207829 -1.24244506 -61.91046496 -0.18964862 -395534.96066338
2457093.59219700 0.99790500 0.00105500 -0.06041229 -1.05067306 -61.33477496 -0.18907162 -394728.79504738
2457093.59295000 0.99931900 0.00105500 -0.05965929 -1.06590506 -60.30266396 -0.18877862 -389336.49397938
2457093.59460500 1.00027500 0.00105500 -0.05800429 -0.92372306 -62.44730596 -0.18805962 -390206.09727138
2457093.59627100 0.99879400 0.00105200 -0.05633829 -0.68848206 -63.04816296 -0.18722962 -391625.38749438
2457093.59795000 1.00213200 0.00105900 -0.05465929 -0.81121306 -63.97471696 -0.18629462 -394875.87682038
2457093.59960400 1.00039400 0.00105300 -0.05300529 -1.02039606 -63.94416996 -0.18526562 -390237.63905638
2457093.60095800 1.00048800 0.00105100 -0.05165129 -0.67601906 -65.53265096 -0.18434762 -384359.51155438
2457093.60261300 1.00169800 0.00105500 -0.04999629 -0.36963806 -65.57811496 -0.18312762 -393702.55983938
2457093.60426800 1.00038300 0.00105100 -0.04834129 -0.51013506 -64.65588496 -0.18180662 -387278.88191938
2457093.60594600 0.99908400 0.00104400 -0.04666329 -0.98167506 -66.02684096 -0.18035962 -368417.91347238
2457093.60761300 0.99945800 0.00104200 -0.04499629 -1.16247306 -68.86194796 -0.17881862 -362409.19928438
2457093.60837700 0.99730500 0.00104000 -0.04423229 -1.04691906 -68.62874496 -0.17807462 -365916.52521538
2457093.61004400 0.99867300 0.00104000 -0.04256529 -0.91968506 -69.91544396 -0.17636962 -366967.56685838
2457093.61172200 0.99987700 0.00103900 -0.04088729 -1.17004306 -71.37218196 -0.17454662 -355573.95233238
2457093.61339900 0.99899900 0.00103800 -0.03921029 -0.67709706 -69.97092496 -0.17261262 -356912.17677038
2457093.61508900 1.00033200 0.00103400 -0.03752029 -1.51676806 -71.33674596 -0.17055562 -343565.09439938
2457093.61716100 0.99922200 0.00104000 -0.03544829 -0.67581206 -70.11908396 -0.16786962 -362579.75967638
2457093.61880400 1.00069500 0.00104500 -0.03380529 -0.63648806 -69.32828996 -0.16561762 -373340.22912238
2457093.62048200 1.00015200 0.00104400 -0.03212729 -0.68659206 -69.87048896 -0.16320462 -371401.80719838
