event,class,param,truth,exozippy,exo_err_hi,exo_err_lo,exo_pull,mmxf_sol0,mmxf_err_sol0,mmxf_pull_sol0,mmxf_sol1,mmxf_err_sol1,mmxf_pull_sol1,note
128,omcassan,t_0,2458554.8868815,,2458554.9072,0.0036,,2458554.8238334553,,,2458554.8238334553,,,
128,omcassan,u_0,0.141832,,0.14159,0.00042,,0.13120606277363886,,,0.13120606277363886,,,
128,omcassan,t_E,18.2374,,18.169,0.026,,19.1630701622593,,,19.1630701622593,,,
128,omcassan,rho,0.00606537,,0.005,0.0035,,1.212872626449141e-06,,,0.008904392591931045,,,
128,omcassan,s,0.993145,,0.97716,0.00058,,0.8590716149893207,,,0.9821672860486524,,,
128,omcassan,q,0.0012118,,0.001085,1.7e-05,,0.0009259770843883544,,,0.0002547434221159895,,,
128,omcassan,alpha,,,-52.07,0.066,,-50.36627971968676,,,-50.474548801060585,,,"no global mapping from the master file's alpha convention exists (measured over all 44 events); reported for the record, not compared"
128,omcassan,mulensinstrument.Roman_W149.err_scale,,,0.972,0.023,,,,,,,,
128,omcassan,mulensinstrument.Roman_Z087.err_scale,,,0.973,0.067,,,,,,,,
