sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
82,124965.2239,122165.5548,2799.6691,0.0370,1.99877,613.5
83,124965.2239,122165.5548,2799.6691,0.0185,1.99847,620.8
84,124965.2239,122165.5548,2799.6691,0.0370,2.01373,627.8
85,124965.2239,122165.5548,2799.6691,0.0370,2.0156,634.8
86,124965.2239,122188.3919,2776.8320,0.0556,2.02327,642.1
87,124965.2239,122188.3919,2776.8320,0.0370,2.03537,649.1
88,124965.2239,122188.3919,2776.8320,0.0185,2.04316,656.1
89,124965.2239,122188.3919,2776.8320,0.0370,2.04194,663.0
90,124965.2239,122519.6675,2445.5564,0.0556,2.06262,669.8
91,124965.2239,122519.6675,2445.5564,0.0556,2.0814,677.0
92,124965.2239,122519.6675,2445.5564,0.0556,2.08182,684.0
93,124965.2239,122519.6675,2445.5564,0.0185,2.08754,691.3
94,124965.2239,122519.6675,2445.5564,0.0000,2.08754,698.5
95,124965.2239,122519.6675,2445.5564,0.0556,2.11002,705.5
96,124965.2239,122519.6675,2445.5564,0.0000,2.11002,712.3
97,124965.2239,122519.6675,2445.5564,0.0370,2.11469,719.0
98,124965.2239,122519.6675,2445.5564,0.0185,2.10482,725.9
99,124965.2239,122519.6675,2445.5564,0.0185,2.10374,732.7
100,124965.2239,122519.6675,2445.5564,0.0185,2.1048,739.5
101,124965.2239,122519.6675,2445.5564,0.0370,2.12865,746.5
102,124965.2239,122519.6675,2445.5564,0.0185,2.13157,753.1
103,124965.2239,122519.6675,2445.5564,0.0556,2.14403,760.2
104,124965.2239,122519.6675,2445.5564,0.0000,2.14403,767.2
105,124965.2239,122519.6675,2445.5564,0.0000,2.14403,773.9
106,124965.2239,122519.6675,2445.5564,0.0185,2.1474,780.7
107,124965.2239,122519.6675,2445.5564,0.0370,2.14908,787.1
108,124965.2239,122519.6675,2445.5564,0.0185,2.15912,794.1
109,124965.2239,122519.6675,2445.5564,0.0370,2.16695,801.0
110,124965.2239,122519.6675,2445.5564,0.0370,2.16575,808.1
111,124965.2239,122519.6675,2445.5564,0.0185,2.16818,814.9
112,124965.2239,122604.7183,2360.5055,0.0741,2.18976,822.2
113,125938.9829,122604.7183,3334.2646,0.0185,2.20012,829.3
114,125938.9829,122604.7183,3334.2646,0.0370,2.20407,836.3
115,125938.9829,122604.7183,3334.2646,0.0185,2.21278,843.4
116,125938.9829,122651.0957,3287.8872,0.0741,2.21587,850.4
117,125938.9829,122651.0957,3287.8872,0.0556,2.22764,857.7
118,125938.9829,122651.0957,3287.8872,0.0000,2.22764,864.6
119,125938.9829,122651.0957,3287.8872,0.0000,2.22764,871.4
120,125938.9829,122651.0957,3287.8872,0.0741,2.23513,878.5
121,125938.9829,122664.0652,3274.9177,0.1296,2.27182,885.6
122,125938.9829,122682.2696,3256.7134,0.0370,2.26749,892.5
123,125938.9829,122682.2696,3256.7134,0.0000,2.26749,899.2
124,125943.8547,122682.2696,3261.5851,0.0185,2.26969,906.2
125,125943.8547,122699.9924,3243.8623,0.0926,2.29214,913.3
126,125943.8547,122699.9924,3243.8623,0.0185,2.2871,920.4
127,125943.8547,122699.9924,3243.8623,0.0741,2.28959,927.4
128,125943.8547,122699.9924,3243.8623,0.0185,2.28643,934.2
129,125943.8547,122699.9924,3243.8623,0.0556,2.3197,941.2
130,125943.8547,122699.9924,3243.8623,0.0185,2.32264,948.2
131,125943.8547,122740.1071,3203.7476,0.0185,2.31702,955.2
132,125943.8547,122740.1071,3203.7476,0.0000,2.31702,962.3
133,125943.8547,122740.1071,3203.7476,0.0185,2.29997,969.3
134,125943.8547,122740.1071,3203.7476,0.0370,2.30602,976.2
135,125943.8547,122740.1071,3203.7476,0.0370,2.32633,983.6
136,125943.8547,122740.1071,3203.7476,0.0185,2.35237,990.7
137,125943.8547,122802.7671,3141.0876,0.0741,2.37095,997.7
138,125943.8547,122802.7671,3141.0876,0.0741,2.38427,1004.7
139,125943.8547,122802.7671,3141.0876,0.0000,2.38427,1011.8
140,125943.8547,122802.7671,3141.0876,0.0000,2.38427,1018.6
141,125943.8547,122835.5674,3108.2873,0.0185,2.39294,1025.4
142,125943.8547,122835.5674,3108.2873,0.0556,2.39354,1031.9
143,125943.8547,122887.7231,3056.1315,0.0185,2.39376,1038.7
144,125943.8547,122887.7231,3056.1315,0.0000,2.39376,1045.4
145,125943.8547,122887.7231,3056.1315,0.0185,2.41834,1052.2
146,125943.8547,122887.7231,3056.1315,0.0000,2.41834,1059.1
147,125943.8547,122887.7231,3056.1315,0.0741,2.43758,1065.7
148,125943.8547,122887.7231,3056.1315,0.0185,2.43515,1072.7
149,125943.8547,122887.7231,3056.1315,0.0370,2.44161,1079.8
150,125943.8547,122887.7231,3056.1315,0.0370,2.44749,1086.7
151,125943.8547,122887.7231,3056.1315,0.0370,2.438,1093.2
152,125943.8547,122887.7231,3056.1315,0.0000,2.438,1099.9
153,125943.8547,122887.7231,3056.1315,0.0000,2.438,1106.4
154,125943.8547,122887.7231,3056.1315,0.0185,2.45435,1112.9
155,125943.8547,122887.7231,3056.1315,0.0185,2.46248,1119.9
156,125943.8547,122887.7231,3056.1315,0.0370,2.45806,1126.6
157,125943.8547,122887.7231,3056.1315,0.0741,2.47729,1133.3
158,125943.8547,122887.7231,3056.1315,0.0185,2.47455,1140.2
159,125943.8547,122887.7231,3056.1315,0.0556,2.47518,1146.9
160,125943.8547,122914.3820,3029.4727,0.0370,2.47705,1153.6
161,125943.8547,122914.3820,3029.4727,0.0741,2.49153,1160.2
162,125943.8547,122996.8960,2946.9587,0.0370,2.49133,1167.3
163,125943.8547,122996.8960,2946.9587,0.0185,2.49071,1174.2
164,125943.8547,123109.0050,2834.8497,0.0185,2.50131,1180.8
165,125943.8547,123109.0050,2834.8497,0.0000,2.50131,1187.4
166,125943.8547,123109.0050,2834.8497,0.0000,2.50131,1194.1
167,125943.8547,123109.0050,2834.8497,0.0185,2.50901,1200.7
168,125943.8547,123109.0050,2834.8497,0.0185,2.50332,1207.6
169,125943.8547,123109.0050,2834.8497,0.0000,2.50332,1214.5
170,125943.8547,123109.0050,2834.8497,0.0185,2.50505,1221.1
171,125943.8547,123109.0050,2834.8497,0.0185,2.50002,1227.9
172,125943.8547,123244.4843,2699.3704,0.0370,2.49871,1235.0
173,125943.8547,123370.7578,2573.0968,0.0370,2.50445,1241.6
174,125943.8547,123370.7578,2573.0968,0.0185,2.50654,1248.2
175,125943.8547,123370.7578,2573.0968,0.0185,2.49999,1254.9
176,125943.8547,123370.7578,2573.0968,0.0556,2.5254,1261.3
177,125943.8547,123370.7578,2573.0968,0.0185,2.50373,1268.4
178,125943.8547,123418.8729,2524.9818,0.0370,2.50379,1275.6
179,125943.8547,123418.8729,2524.9818,0.0741,2.51286,1282.4
180,125943.8547,123538.3604,2405.4942,0.0185,2.51195,1289.0
181,125943.8547,123538.3604,2405.4942,0.0000,2.51195,1295.6
182,125943.8547,123538.3604,2405.4942,0.0370,2.51543,1302.6
183,125943.8547,123538.3604,2405.4942,0.0370,2.51462,1309.4
184,126153.4566,123538.3604,2615.0962,0.0370,2.51224,1316.0
185,126153.4566,123578.4287,2575.0279,0.0370,2.49914,1322.9
186,126153.4566,123578.4287,2575.0279,0.0185,2.498,1329.7
187,126153.4566,123578.4287,2575.0279,0.0370,2.486,1336.5
188,126153.4566,123578.4287,2575.0279,0.0000,2.486,1342.9
189,126153.4566,123578.4287,2575.0279,0.0000,2.486,1349.5
190,126153.4566,123578.4287,2575.0279,0.0185,2.48887,1356.8
191,126153.4566,123578.4287,2575.0279,0.0000,2.48887,1363.7
192,126153.4566,123682.7655,2470.6911,0.0185,2.49022,1370.8
193,126153.4566,123682.7655,2470.6911,0.0185,2.49532,1378.0
194,126153.4566,123722.7741,2430.6826,0.0185,2.50016,1385.3
195,126153.4566,123722.7741,2430.6826,0.0926,2.50308,1391.8
196,126153.4566,123722.7741,2430.6826,0.0370,2.49868,1398.4
197,126153.4566,123722.7741,2430.6826,0.0370,2.50986,1405.0
198,126153.4566,123817.0884,2336.3682,0.0556,2.50276,1411.6
199,126153.4566,123817.0884,2336.3682,0.0556,2.49064,1418.2
200,126153.4566,123817.0884,2336.3682,0.0926,2.51738,1424.7
201,126153.4566,123817.0884,2336.3682,0.0000,2.51738,1431.2
202,126153.4566,123817.0884,2336.3682,0.0000,2.51738,1437.9
203,126153.4566,123817.0884,2336.3682,0.0556,2.52379,1444.4
204,126153.4566,123817.0884,2336.3682,0.0000,2.52379,1451.3
205,126153.4566,123858.8488,2294.6078,0.0370,2.5254,1457.8
206,126153.4566,123858.8488,2294.6078,0.0185,2.53727,1464.4
207,126153.4566,123858.8488,2294.6078,0.0000,2.53727,1471.0
208,126153.4566,123858.8488,2294.6078,0.0000,2.53727,1477.7
