sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
1,125203.5868,86067.0520,39136.5348,0.4630,1.00772,10.9
2,125203.5868,93510.7769,31692.8099,0.4630,1.04755,21.5
3,125203.5868,96198.9272,29004.6596,0.3333,1.1041,31.6
4,125203.5868,99324.9289,25878.6579,0.2963,1.1404,41.9
5,125552.2461,104363.0613,21189.1848,0.3333,1.17658,52.2
6,125552.2461,106769.9072,18782.3389,0.2963,1.22314,62.2
7,125552.2461,109526.7744,16025.4717,0.2778,1.25594,72.6
8,125552.2461,110928.4260,14623.8201,0.1667,1.26634,83.2
9,125552.2461,114998.4374,10553.8087,0.2963,1.29551,93.3
10,125552.2461,115618.8416,9933.4045,0.2407,1.31761,103.4
11,125552.2461,115618.8416,9933.4045,0.0741,1.31855,113.3
12,125552.2461,116586.7957,8965.4504,0.3519,1.39928,123.3
13,125552.2461,117317.4097,8234.8364,0.1667,1.41951,132.9
14,125552.2461,117812.9392,7739.3069,0.2037,1.45816,142.4
15,125552.2461,118791.0687,6761.1774,0.1852,1.47248,152.4
16,125552.2461,119489.2569,6062.9892,0.1667,1.49582,162.6
17,125713.5829,119850.9011,5862.6818,0.1852,1.50762,172.2
18,125713.5829,119850.9011,5862.6818,0.1296,1.51773,181.9
19,125713.5829,120166.5867,5546.9962,0.1481,1.5392,191.7
20,125713.5829,120218.7895,5494.7934,0.0741,1.53558,201.9
21,125713.5829,120218.7895,5494.7934,0.1111,1.55565,212.0
22,125713.5829,120284.7698,5428.8131,0.1296,1.55664,221.7
23,125713.5829,120349.9398,5363.6431,0.1111,1.55445,232.0
24,126279.3349,120651.9814,5627.3535,0.1852,1.56194,242.0
25,126279.3349,120666.9331,5612.4018,0.1481,1.58588,252.2
26,126279.3349,120666.9331,5612.4018,0.0556,1.59554,262.1
27,126279.3349,120666.9331,5612.4018,0.0556,1.59464,271.6
28,126279.3349,121355.8530,4923.4819,0.1111,1.62603,282.1
29,126279.3349,121355.8530,4923.4819,0.0926,1.62987,292.1
30,126279.3349,121355.8530,4923.4819,0.1111,1.65506,302.1
31,126279.3349,121748.1117,4531.2232,0.1111,1.64775,311.8
32,126279.3349,121748.1117,4531.2232,0.0000,1.64775,321.3
