# GOST forecast for Gaia BH1 (ra=262.17120816, dec=-0.58109202), one row per FoV transit
# BJD_TDB(barycentre) scanAngle[rad] parallaxFactorAlongScan
2459507.25007288 -0.7903892773 0.4663255781
2459631.18339562 -2.2125226006 -0.6414653815
2459631.25741489 -2.2150415496 -0.6403192543
2459661.24519945 2.3585351365 0.6997482947
2459682.92179828 -2.6807138833 -0.5279094157
2459863.54364551 0.5644439070 -0.5846642305
2459863.71978257 0.5552816598 -0.5784646748
2459881.72300934 -0.6842259056 0.2852055906
2459881.79701631 -0.6889114799 0.2876401813
2459881.97315684 -0.7000369828 0.2933814037
2459882.04716558 -0.7047006407 0.2957716578
2460006.98301061 -2.2471394933 -0.6991432977
2460040.96171011 2.3243879392 0.6095897351
2460041.03572937 2.3272821062 0.6068175531
2460057.29042122 -2.9233449321 -0.3742935477
2460057.46658527 -2.9144028144 -0.3813702411
2460155.56489840 0.0532680230 0.2849893151
2460155.63890695 0.0574526187 0.2816497215
2460155.81504706 0.0674750052 0.2736153656
2460168.81898369 0.9165060786 -0.5086655335
2460168.89299059 0.9202991453 -0.5121753725
2460247.01354654 0.1127315448 -0.3058533259
2460247.08755520 0.1074010277 -0.3024221935
2460247.26369677 0.0946895714 -0.2942436225
2460247.33770468 0.0893387417 -0.2908024992
2460247.51384456 0.0765813328 -0.2826024941
2460247.76399015 0.0584135301 -0.2709367389
2460252.51663346 -0.2906148646 -0.0541259026
2460252.59064076 -0.2960215204 -0.0509506965
2460252.76678069 -0.3088784513 -0.0434312366
2460252.84078860 -0.3142756952 -0.0402878865
2460253.01693003 -0.3271095307 -0.0328455949
2460253.09091036 -0.3324947393 -0.0297363977
2460253.26708162 -0.3453062555 -0.0223726171
2460253.34109088 -0.3506830321 -0.0192962151
2460333.54253194 -2.4408467298 -0.1739360107
2460333.61652154 -2.4459797532 -0.1711654319
2460333.79271238 -2.4582260342 -0.1645108340
2460346.79934866 2.8807046570 0.4644963889
2460346.87336629 2.8758707890 0.4677975499
2460347.04953222 2.8644428714 0.4755990784
2460347.12355164 2.8596741580 0.4788538146
2460382.60623015 -2.3056082921 -0.7157844244
2460382.78239854 -2.3064781423 -0.7159869262
2460421.50267637 2.3757720013 0.4116188758
2460421.57669527 2.3803716764 0.4074551230
2460421.75286013 2.3914129269 0.3974616657
2460421.82687739 2.3960906682 0.3932278040
2460430.50794623 2.9967509275 -0.1480241448
2460430.58193479 3.0015339035 -0.1520242817
2460430.75812654 3.0128668896 -0.1614638744
2460529.93113296 -0.2246422605 0.4554119172
2460549.18127205 0.9222991653 -0.6549245469
2460707.08961329 -2.2695867448 -0.3924930598
2460707.16363119 -2.2739763173 -0.3902724074
2460728.09324079 2.5907425068 0.6433129584
2460758.40517978 -2.3945419931 -0.6911523678
