 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Feb-05 00:00     00 25 18.97 +03 42 14.8  1.27700179837743   1.1354282    10.62050011
 2014-Feb-06 00:00     00 28 54.91 +04 05 10.6  1.27765346137625   1.1210720    10.62591982
 2014-Feb-07 00:00     00 32 31.01 +04 28 02.7  1.27829686933171   1.1068538    10.63127088
 2014-Feb-08 00:00     00 36 07.31 +04 50 50.7  1.27893211676984   1.0928212    10.63655407
 2014-Feb-09 00:00     00 39 43.82 +05 13 34.2  1.27955932029034   1.0790044    10.64177037
 2014-Feb-10 00:00     00 43 20.55 +05 36 12.9  1.28017861036978   1.0654222    10.64692085
 2014-Feb-11 00:00     00 46 57.53 +05 58 46.5  1.28079012624482   1.0520865    10.65200667
 2014-Feb-12 00:00     00 50 34.76 +06 21 14.6  1.28139401239794   1.0390037    10.65702904
 2014-Feb-13 00:00     00 54 12.28 +06 43 36.8  1.28199041541493   1.0261746    10.66198917
 2014-Feb-14 00:00     00 57 50.09 +07 05 52.9  1.28257948035139   1.0135928    10.66688827
 2014-Feb-15 00:00     01 01 28.22 +07 28 02.6  1.28316134613652   1.0012430    10.67172750
 2014-Feb-16 00:00     01 05 06.69 +07 50 05.4  1.28373613990623   0.9890995    10.67650792
 2014-Feb-17 00:00     01 08 45.50 +08 12 01.0  1.28430397044341   0.9771244    10.68123042
 2014-Feb-18 00:00     01 12 24.69 +08 33 49.1  1.28486492106116   0.9652673    10.68589570
 2014-Feb-19 00:00     01 16 04.26 +08 55 29.4  1.28541904226441   0.9534649    10.69050419
 2014-Feb-20 00:00     01 19 44.25 +09 17 01.5  1.28596634439393   0.9416415    10.69505596
 2014-Feb-21 00:00     01 23 24.66 +09 38 25.1  1.28650679028743   0.9297083    10.69955071
 2014-Feb-22 00:00     01 27 05.52 +09 59 39.9  1.28704028794134   0.9175642    10.70398768
 2014-Feb-23 00:00     01 30 46.84 +10 20 45.5  1.28756668339774   0.9050962    10.70836558
 2014-Feb-24 00:00     01 34 28.64 +10 41 41.6  1.28808575474926   0.8921828    10.71268256
 2014-Feb-25 00:00     01 38 10.95 +11 02 27.8  1.28859720923003   0.8787018    10.71693620
 2014-Feb-26 00:00     01 41 53.76 +11 23 03.9  1.28910068650174   0.8645444    10.72112349
 2014-Feb-27 00:00     01 45 37.10 +11 43 29.5  1.28959577164354   0.8496339    10.72524099
 2014-Feb-28 00:00     01 49 20.99 +12 03 44.1  1.29008201993113   0.8339468    10.72928499
 2014-Mar-01 00:00     01 53 05.43 +12 23 47.6  1.29055899174272   0.8175254    10.73325185
 2014-Mar-02 00:00     01 56 50.43 +12 43 39.5  1.29102629109344   0.8004768    10.73713826
 2014-Mar-03 00:00     02 00 36.01 +13 03 19.5  1.29148359837391   0.7829544    10.74094156
