# time flux_white_norm err_white_norm
2.45978122424234e+06 1.00078124773997e+00 1.62061318693464e-04
2.45978122432149e+06 1.00071407959940e+00 1.62038133505516e-04
2.45978122440064e+06 1.00056952797521e+00 1.62042713159490e-04
2.45978122447979e+06 1.00070368345382e+00 1.62030530176389e-04
2.45978122455894e+06 1.00064221059300e+00 1.62048120461772e-04
2.45978122463809e+06 1.00026632212936e+00 1.62039380495634e-04
2.45978122471724e+06 1.00059637715119e+00 1.62049599193416e-04
2.45978122479638e+06 1.00086459770713e+00 1.62072740240121e-04
2.45978122487553e+06 1.00049096927514e+00 1.62037217574721e-04
2.45978122495468e+06 1.00079715836277e+00 1.62063580932174e-04
2.45978122503383e+06 1.00038655581302e+00 1.62055083742874e-04
2.45978122511298e+06 1.00045833441815e+00 1.62027903772423e-04
2.45978122519213e+06 1.00091278158186e+00 1.62053660187783e-04
2.45978122527128e+06 1.00031513881295e+00 1.62067862632757e-04
2.45978122535043e+06 1.00068108313734e+00 1.62057842570569e-04
2.45978122542958e+06 1.00062629997020e+00 1.62036809268223e-04
2.45978122550873e+06 1.00112585736561e+00 1.62068546822025e-04
2.45978122558788e+06 1.00039532473581e+00 1.62063889920876e-04
2.45978122566702e+06 1.00056473670812e+00 1.62043927043675e-04
2.45978122574617e+06 1.00031676603574e+00 1.62026027769591e-04
2.45978122582532e+06 1.00058507699295e+00 1.62039016330378e-04
2.45978122590447e+06 1.00044468382700e+00 1.62038762518231e-04
2.45978122598362e+06 1.00051926487137e+00 1.62079317285346e-04
2.45978122606277e+06 1.00042804999407e+00 1.62014010316152e-04
2.45978122614192e+06 1.00041855786115e+00 1.62028654173556e-04
2.45978122622107e+06 1.00100806451613e+00 1.62066361830490e-04
2.45978122630022e+06 1.00037272441933e+00 1.62054211953322e-04
2.45978122637937e+06 1.00056527911572e+00 1.62083764515590e-04
2.45978122645852e+06 1.00042262591812e+00 1.62003736441816e-04
2.45978122653767e+06 1.00095762060975e+00 1.62063768532457e-04
2.45978122661681e+06 9.99834746485922e-01 1.61973290019375e-04
2.45978122669596e+06 1.00038131253960e+00 1.62055094778184e-04
2.45978122677511e+06 1.00033249585601e+00 1.62015069705987e-04
2.45978122685426e+06 1.00048789563210e+00 1.62070213153953e-04
2.45978122693341e+06 1.00106275728200e+00 1.62048164603015e-04
2.45978122701256e+06 1.00058570980181e+00 1.62080001474614e-04
2.45978122709171e+06 1.00055578698280e+00 1.62030364646727e-04
2.45978122717086e+06 1.00032996462056e+00 1.62037824516814e-04
2.45978122725001e+06 1.00007548505703e+00 1.62075708738721e-04
2.45978122732916e+06 1.00064564584111e+00 1.62033487639678e-04
2.45978122740831e+06 1.00029588334331e+00 1.62009441697489e-04
2.45978122748746e+06 1.00019752676601e+00 1.62030508105767e-04
2.45978122756660e+06 1.00041647863203e+00 1.62053307057838e-04
2.45978122764575e+06 1.00055153812330e+00 1.62067851597446e-04
2.45978122772490e+06 1.00083187244888e+00 1.62053483622811e-04
2.45978122780405e+06 1.00012972581658e+00 1.62017696109952e-04
