2452125.62263 15.082 0.004 5.25 2139.0
2452129.69770 15.077 0.003 4.18 777.0
2452132.63925 15.068 0.003 4.16 755.0
2452136.54330 15.089 0.004 6.31 746.0
2452141.55508 15.071 0.003 4.17 760.0
2452144.64466 15.074 0.003 4.23 670.0
2452160.61281 15.080 0.004 6.33 888.0
2452169.52663 15.083 0.004 6.99 870.0
2452175.65087 15.067 0.004 5.75 1339.0
2452188.50212 15.089 0.005 7.48 826.0
2452211.50713 15.071 0.005 6.61 1326.0
2452332.87486 15.077 0.004 3.79 3096.0
2452347.83874 15.066 0.004 4.18 734.0
2452357.86625 15.077 0.004 4.50 740.0
2452372.85416 15.080 0.004 4.92 855.0
2452383.82603 15.081 0.003 4.05 721.0
2452388.79677 15.076 0.004 5.33 875.0
2452390.82616 15.075 0.004 4.06 1019.0
2452397.70641 15.081 0.004 3.79 1037.0
2452401.83554 15.077 0.004 4.20 872.0
2452403.91251 15.076 0.004 3.95 891.0
2452405.89994 15.077 0.004 4.34 902.0
2452411.74022 15.099 0.002 4.38 662.0
2452414.90496 15.079 0.004 5.44 820.0
2452416.85729 15.089 0.004 4.75 902.0
2452424.82468 15.078 0.004 4.73 998.0
2452428.85327 15.077 0.004 5.16 803.0
2452432.86675 15.101 0.005 7.55 1152.0
2452434.75162 15.073 0.003 3.42 802.0
2452436.80037 15.083 0.004 4.43 832.0
2452438.76112 15.075 0.004 4.25 711.0
2452441.73886 15.077 0.003 4.07 766.0
2452445.64470 15.082 0.004 4.16 752.0
2452448.66638 15.095 0.004 3.64 1961.0
2452455.70304 15.046 0.002 3.66 1674.0
2452459.62312 15.068 0.002 4.64 636.0
2452463.55442 15.065 0.004 4.71 762.0
2452466.65358 15.069 0.004 4.77 656.0
2452468.68380 15.073 0.003 3.65 629.0
2452470.66625 15.078 0.003 3.80 623.0
2452472.69436 15.075 0.003 3.95 684.0
2452481.57086 15.075 0.004 5.99 921.0
2452484.63340 15.071 0.004 4.79 720.0
2452486.72545 15.075 0.004 6.15 777.0
2452490.69366 15.069 0.004 5.27 712.0
2452493.65520 15.074 0.004 4.42 878.0
2452495.75710 15.074 0.004 5.22 1057.0
2452498.52064 15.072 0.003 3.34 705.0
2452500.56515 15.073 0.003 3.59 804.0
2452502.57635 15.064 0.003 3.80 869.0
2452508.67673 15.068 0.004 5.12 1160.0
2452512.62308 15.068 0.004 4.54 925.0
2452517.57694 15.064 0.004 4.93 785.0
2452520.59229 15.061 0.004 4.56 773.0
2452528.49757 15.070 0.004 5.34 904.0
2452538.50401 15.079 0.004 4.50 1040.0
2452542.53128 15.090 0.004 3.64 2101.0
2452552.50525 15.072 0.004 4.86 973.0
2452556.58935 15.070 0.004 5.16 1176.0
2452563.50378 15.080 0.004 4.20 1001.0
2452575.53194 15.050 0.003 5.48 1152.0
2452707.87662 15.067 0.003 4.02 733.0
2452714.91200 15.074 0.003 3.73 922.0
2452729.84592 15.078 0.004 5.91 818.0
2452733.92607 15.078 0.005 4.70 2977.0
2452744.92390 15.069 0.004 4.22 1062.0
2452753.89807 15.069 0.004 5.02 942.0
2452757.81008 15.065 0.003 4.62 1023.0
2452761.82718 15.073 0.004 3.83 853.0
2452767.80529 15.068 0.004 6.18 973.0
2452775.73162 15.071 0.005 6.13 1427.0
2452783.83563 15.067 0.004 3.85 812.0
2452785.76127 15.069 0.004 4.45 865.0
2452787.61160 15.076 0.004 4.91 974.0
2452789.76832 15.074 0.004 4.01 830.0
2452791.72473 15.071 0.004 4.06 683.0
2452794.93915 15.069 0.004 4.85 1153.0
2452796.83848 15.077 0.003 3.56 695.0
2452797.89970 15.074 0.004 4.74 919.0
2452809.72762 15.081 0.004 4.57 882.0
2452811.65470 15.086 0.005 6.85 848.0
2452812.72646 15.080 0.004 5.64 823.0
2452813.83573 15.066 0.004 4.14 884.0
2452814.75931 15.075 0.004 4.33 765.0
2452816.62400 15.074 0.003 3.92 602.0
2452818.59527 15.073 0.004 4.38 717.0
2452820.80194 15.068 0.004 4.00 847.0
2452826.76543 15.076 0.004 5.93 702.0
2452835.64959 15.070 0.004 4.87 1182.0
2452837.64635 15.099 0.004 4.70 2631.0
2452839.71885 15.071 0.004 4.73 797.0
2452841.72816 15.083 0.004 3.86 871.0
2452843.65470 15.075 0.003 4.76 910.0
2452845.66532 15.072 0.004 4.79 751.0
2452850.53334 15.072 0.004 3.68 1063.0
2452852.54574 15.070 0.004 6.20 891.0
2452854.54947 15.066 0.004 4.17 928.0
2452856.73981 15.072 0.005 6.19 1078.0
2452858.69246 15.073 0.004 4.27 1016.0
2452862.60517 15.070 0.004 5.45 1111.0
2452865.70875 15.075 0.004 4.46 1313.0
2452868.59495 15.074 0.003 3.78 717.0
2452876.59127 15.070 0.004 4.66 707.0
2452879.64154 15.070 0.004 4.49 705.0
2452884.67190 15.077 0.004 6.01 906.0
2452892.66027 15.083 0.005 5.87 1459.0
2452895.63398 15.067 0.003 3.66 974.0
2452900.56220 15.070 0.004 5.20 901.0
2452906.51410 15.079 0.004 5.87 936.0
2452911.53826 15.070 0.004 4.98 883.0
2452918.56228 15.068 0.004 4.59 1158.0
2452930.58327 15.077 0.004 4.76 1219.0
2453059.81875 15.072 0.004 5.30 899.0
2453064.83557 15.068 0.004 5.99 1114.0
2453068.78945 15.074 0.004 5.65 1217.0
2453070.86804 15.074 0.004 4.97 982.0
2453073.82413 15.071 0.004 4.00 990.0
2453075.86221 15.074 0.004 4.14 1004.0
2453079.90709 15.074 0.004 3.35 1646.0
2453082.89011 15.074 0.003 4.29 686.0
2453085.82473 15.070 0.003 4.34 665.0
2453086.89711 15.063 0.003 4.47 765.0
2453088.81732 15.072 0.003 3.98 660.0
2453090.73042 15.076 0.003 3.96 778.0
2453096.88561 15.085 0.004 6.29 755.0
