event,class,param,truth,exozippy,exo_err_hi,exo_err_lo,exo_pull,mmxf_sol0,mmxf_err_sol0,mmxf_pull_sol0,mmxf_sol1,mmxf_err_sol1,mmxf_pull_sol1,note
128,omcassan,t_0,2458554.8868815,,2458554.9077,0.0031,,2458554.8238334553,,,2458554.8238334553,,,
128,omcassan,u_0,0.141832,,0.1422,0.00032,,0.13120606277363886,,,0.13120606277363886,,,
128,omcassan,t_E,18.2374,,18.161,0.026,,19.1630701622593,,,19.1630701622593,,,
128,omcassan,rho,0.00606537,,,,,0.007490000040076086,,,0.008904392591931045,,,
128,omcassan,s,0.993145,,0.97645,0.00042,,0.9772600613153636,,,0.863385366920478,,,
128,omcassan,q,0.0012118,,0.0010633,6.3e-06,,0.0009396590706156493,,,0.0002547434221159895,,,
128,omcassan,alpha,,,-51.957,0.031,,-50.320595291450125,,,-50.474548801060585,,,"no global mapping from the master file's alpha convention exists (measured over all 44 events); reported for the record, not compared"
128,omcassan,mulensinstrument.Roman_W149.err_scale,,,1.0004,0.0038,,,,,,,,
128,omcassan,mulensinstrument.Roman_Z087.err_scale,,,1.072,0.027,,,,,,,,
