2.458354111507261638e+06 9.998426437377929688e-01 5.428481963463127613e-04
2.458354112896191888e+06 1.000606775283813477e+00 5.428406293503940105e-04
2.458354114285122603e+06 9.996614456176757812e-01 5.428494769148528576e-04
2.458354117062983103e+06 9.997162222862243652e-01 5.428149597719311714e-04
2.458354118451913353e+06 1.000138759613037109e+00 5.429674638435244560e-04
2.458354119840844069e+06 9.994658231735229492e-01 5.427441792562603951e-04
2.458354121229774319e+06 9.998035430908203125e-01 5.428097210824489594e-04
2.458354122618704569e+06 1.000061988830566406e+00 5.430687451735138893e-04
2.458354124007634819e+06 9.996107220649719238e-01 5.428534932434558868e-04
2.458354125396565069e+06 1.000252604484558105e+00 5.429306183941662312e-04
2.458354126785495784e+06 9.993636012077331543e-01 5.429614684544503689e-04
2.458354128174426034e+06 1.000151753425598145e+00 5.429956945590674877e-04
2.458354129563356284e+06 9.999440312385559082e-01 5.432157777249813080e-04
2.458354130952286534e+06 1.000332713127136230e+00 5.431008758023381233e-04
2.458354132341216784e+06 9.995745420455932617e-01 5.428830627351999283e-04
2.458354133730147034e+06 1.000179767608642578e+00 5.430663586594164371e-04
2.458354135119077284e+06 1.000455737113952637e+00 5.429231678135693073e-04
2.458354136508008000e+06 1.000737547874450684e+00 5.431834142655134201e-04
2.458354137896938249e+06 1.000630259513854980e+00 5.430956953205168247e-04
2.458354139285868499e+06 9.999073743820190430e-01 5.431007011793553829e-04
2.458354140674798749e+06 9.991228580474853516e-01 5.426451680250465870e-04
2.458354142063728999e+06 1.001329541206359863e+00 5.430793389678001404e-04
2.458354143452659249e+06 1.000144243240356445e+00 5.429606535471975803e-04
2.458354144841589499e+06 1.000337958335876465e+00 5.431522149592638016e-04
2.458354146230519749e+06 1.000776767730712891e+00 5.429545417428016663e-04
2.458354147619449999e+06 1.000301480293273926e+00 5.429097800515592098e-04
2.458354149008380249e+06 1.000421762466430664e+00 5.426978459581732750e-04
2.458354150397310499e+06 1.000872611999511719e+00 5.431591416709125042e-04
2.458354151786240749e+06 9.999132752418518066e-01 5.432798061519861221e-04
2.458354153175170999e+06 1.000176668167114258e+00 5.427254945971071720e-04
2.458354154564101249e+06 9.998119473457336426e-01 5.430292221717536449e-04
2.458354155953031499e+06 9.999548196792602539e-01 5.426587304100394249e-04
2.458354157341961749e+06 1.000021338462829590e+00 5.427306750789284706e-04
2.458354158730891999e+06 1.000744462013244629e+00 5.429659504443407059e-04
2.458354160119822249e+06 1.000294685363769531e+00 5.429326556622982025e-04
2.458354161508752499e+06 1.001039624214172363e+00 5.430905148386955261e-04
2.458354162897682749e+06 1.000309944152832031e+00 5.431165336631238461e-04
2.458354164286612999e+06 1.000753760337829590e+00 5.430888850241899490e-04
2.458354165675543249e+06 9.998865127563476562e-01 5.428235162980854511e-04
2.458354167064473499e+06 9.995920062065124512e-01 5.427409196272492409e-04
2.458354168453403749e+06 1.000179767608642578e+00 5.427250289358198643e-04
2.458354169842333999e+06 1.000294923782348633e+00 5.428973236121237278e-04
2.458354171231264248e+06 1.001013278961181641e+00 5.430394667200744152e-04
2.458354172620194498e+06 1.000104665756225586e+00 5.430537275969982147e-04
2.458354174009124748e+06 9.997563958168029785e-01 5.428579752333462238e-04
2.458354175398054998e+06 9.998144507408142090e-01 5.430005840025842190e-04
2.458354176786985248e+06 1.000075578689575195e+00 5.428009899333119392e-04
2.458354178175915498e+06 1.000142812728881836e+00 5.426684510894119740e-04
2.458354179564845748e+06 9.999471306800842285e-01 5.429879529401659966e-04
2.458354180953775533e+06 1.001116514205932617e+00 5.432293401099741459e-04
2.458354182342705783e+06 1.000520110130310059e+00 5.431098979897797108e-04
2.458354183731636032e+06 1.000328183174133301e+00 5.428036674857139587e-04
2.458354185120566282e+06 1.000710964202880859e+00 5.430263699963688850e-04
2.458354186509496532e+06 1.000542879104614258e+00 5.429179873317480087e-04
2.458354187898426782e+06 1.001325130462646484e+00 5.430009332485496998e-04
2.458354189287357032e+06 1.000478506088256836e+00 5.428116419352591038e-04
2.458354190676286817e+06 1.000589013099670410e+00 5.429751472547650337e-04
2.458354192065217067e+06 1.000164151191711426e+00 5.428452859632670879e-04
2.458354193454147317e+06 1.001378297805786133e+00 5.431421450339257717e-04
2.458354194843077566e+06 1.000134706497192383e+00 5.428597796708345413e-04
2.458354196232007816e+06 9.996458292007446289e-01 5.428675794973969460e-04
2.458354197620937601e+06 9.999744892120361328e-01 5.427824798971414566e-04
2.458354199009867851e+06 1.000006198883056641e+00 5.428699078038334846e-04
2.458354200398798101e+06 1.000404596328735352e+00 5.430469755083322525e-04
2.458354201787728351e+06 9.996470212936401367e-01 5.427940632216632366e-04
2.458354203176658135e+06 9.995596408843994141e-01 5.427959840744733810e-04
2.458354204565588385e+06 1.000965714454650879e+00 5.430748569779098034e-04
2.458354205954518635e+06 9.997009634971618652e-01 5.428015720099210739e-04
2.458354207343448885e+06 1.000484943389892578e+00 5.428499425761401653e-04
2.458354208732378669e+06 9.999986886978149414e-01 5.429100128822028637e-04
2.458354210121308919e+06 9.997560977935791016e-01 5.427541909739375114e-04
2.458354211510239169e+06 1.000865817070007324e+00 5.429699667729437351e-04
2.458354212899169419e+06 1.000930190086364746e+00 5.430849269032478333e-04
2.458354214288099203e+06 1.000736355781555176e+00 5.431723548099398613e-04
2.458354215677029453e+06 1.000417947769165039e+00 5.431979079730808735e-04
2.458354217065959703e+06 1.000395417213439941e+00 5.430057644844055176e-04
2.458354218454889487e+06 9.997825622558593750e-01 5.434679333120584488e-04
2.458354219843819737e+06 1.000057458877563477e+00 5.429338198155164719e-04
2.458354221232749987e+06 9.995913505554199219e-01 5.428359727375209332e-04
2.458354222621679772e+06 1.000351309776306152e+00 5.428910953924059868e-04
2.458354224010610022e+06 1.001206278800964355e+00 5.429314333014190197e-04
2.458354225399540272e+06 1.000504612922668457e+00 5.429816083051264286e-04
2.458354226788470056e+06 1.000984191894531250e+00 5.430848104879260063e-04
2.458354228177400306e+06 1.000501155853271484e+00 5.429239827208220959e-04
2.458354229566330090e+06 1.000035881996154785e+00 5.428483127616345882e-04
