Title: OGLE-2016-BLG-1003: First Resolved Caustic-crossing Binary-source 
       Event Discovered by Second-generation Microlensing Surveys  
Authors: Jung Y.K., Udalski A., Bond I.A., Yee J.C., Gould A., Han C., 
         Albrow M.D., Lee C.-U., Kim S.-L., Hwang K.-H., Chung S.-J., Ryu Y.-H.,
         Shin I.-G., Zhu W., Cha S.-M., Kim D.-J., Lee Y., Park B.-G., 
         Kim H.-W., Pogge R.W., Skowron J., Szymanski M.K., Poleski R., Mroz P.,
         Kozlowski S., Pietrukowicz P., Soszynski I., Ulaczyk K., Pawlak M., 
         Abe F., Bennett D.P., Barry R., Sumi T., Asakura Y., Bhattacharya A., 
         Donachie M., Fukui A., Hirao Y., Itow Y., Koshimoto N., Li M.C.A., 
         Ling C.H., Masuda K., Matsubara Y., Muraki Y., Nagakane M., 
         Rattenbury N.J., Evans P., Sharan A., Sullivan D.J., Suzuki D., 
         Tristram P.J., Yamada T., Yamada T., Yonehara A.
Figure: Light curve of OGLE-2016-BLG-1003
================================================================================
Byte-by-byte Description of file: dbf1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Obs     Observatory identifier
   6-  6 A1     ---     Filter  Filter used
   8- 18 F11.6  d       HJD     Heliocentric Julian Date; - 2450000
  20- 28 F9.6   mag     mag     Apparent magnitude in Filter
  30- 37 F8.6   mag   e_mag     Uncertainty in mag
--------------------------------------------------------------------------------
KMTA I 7514.074530 19.382000 0.101000 
KMTA I 7514.121930 19.625000 0.159000 
KMTA I 7514.169080 19.731000 0.125000 
KMTA I 7514.265240 19.428000 0.099000 
KMTA I 7515.016900 19.469000 0.152000 
KMTA I 7515.077320 19.403000 0.103000 
KMTA I 7515.129870 19.251000 0.097000 
KMTA I 7515.179260 19.378000 0.090000 
KMTA I 7515.237000 19.425000 0.106000 
KMTA I 7515.284730 19.399000 0.106000 
KMTA I 7521.997560 19.501000 0.140000 
KMTA I 7522.104960 19.488000 0.111000 
KMTA I 7522.199520 19.387000 0.118000 
KMTA I 7522.252470 19.523000 0.130000 
KMTA I 7522.300410 19.394000 0.138000 
KMTA I 7522.994930 19.316000 0.110000 
KMTA I 7523.055960 19.380000 0.096000 
KMTA I 7523.106220 19.312000 0.073000 
KMTA I 7523.182420 19.343000 0.099000 
KMTA I 7523.235000 19.213000 0.066000 
KMTA I 7523.284910 19.497000 0.107000 
KMTA I 7527.182480 19.368000 0.136000 
KMTA I 7527.276060 19.449000 0.134000 
KMTA I 7528.019220 19.501000 0.167000 
KMTA I 7528.064970 19.393000 0.147000 
KMTA I 7529.082770 19.557000 0.167000 
KMTA I 7538.020840 18.953000 0.077000 
KMTA I 7538.131370 19.202000 0.081000 
KMTA I 7538.178290 19.105000 0.071000 
KMTA I 7538.225620 19.152000 0.075000 
KMTA I 7538.277000 19.134000 0.084000 
KMTA I 7539.076870 19.100000 0.083000 
KMTA I 7539.133150 19.056000 0.085000 
KMTA I 7539.183330 18.978000 0.084000 
KMTA I 7539.240760 19.282000 0.099000 
KMTA I 7539.949000 19.204000 0.089000 
KMTA I 7540.006840 19.194000 0.085000 
KMTA I 7540.055550 19.335000 0.072000 
KMTA I 7540.104120 19.230000 0.069000 
KMTA I 7540.157270 19.145000 0.084000 
KMTA I 7540.211540 19.227000 0.091000 
KMTA I 7540.259480 19.200000 0.092000 
KMTA I 7551.940070 18.330000 0.049000 
KMTA I 7551.956840 18.429000 0.053000 
KMTA I 7552.055400 18.334000 0.046000 
KMTA I 7552.103760 18.268000 0.038000 
KMTA I 7552.150670 18.300000 0.045000 
KMTA I 7552.942990 18.240000 0.038000 
KMTA I 7552.986940 18.140000 0.035000 
KMTA I 7553.035390 18.202000 0.029000 
KMTA I 7553.087780 18.230000 0.032000 
KMTA I 7553.147760 18.175000 0.035000 
KMTA I 7553.199810 18.261000 0.038000 
KMTA I 7553.249140 18.216000 0.039000 
KMTA I 7554.084120 18.124000 0.048000 
KMTA I 7554.180330 18.155000 0.027000 
KMTA I 7554.940170 18.142000 0.037000 
KMTA I 7554.983220 18.129000 0.037000 
KMTA I 7555.035170 18.081000 0.034000 
KMTA I 7555.087050 18.090000 0.036000 
KMTA I 7555.138220 18.044000 0.026000 
KMTA I 7555.174490 18.041000 0.027000 
KMTA I 7555.222970 18.052000 0.031000 
KMTA I 7565.174140 19.087000 0.071000 
KMTA I 7565.225350 19.315000 0.102000 
KMTA I 7568.871370 19.356000 0.127000 
KMTA I 7568.898210 19.303000 0.113000 
KMTA I 7568.934890 19.313000 0.104000 
KMTA I 7568.968890 19.213000 0.089000 
KMTA I 7569.004560 19.345000 0.100000 
KMTA I 7569.039040 19.235000 0.074000 
KMTA I 7569.073940 19.132000 0.078000 
KMTA I 7569.109280 19.199000 0.086000 
KMTA I 7569.144230 19.080000 0.085000 
KMTA I 7569.178850 19.113000 0.083000 
KMTA I 7569.213540 19.476000 0.127000 
KMTA I 7570.020130 19.304000 0.099000 
KMTA I 7570.055240 19.183000 0.091000 
KMTA I 7570.090590 19.084000 0.076000 
KMTA I 7573.006790 19.239000 0.084000 
KMTA I 7573.047130 19.214000 0.096000 
KMTA I 7573.082360 19.266000 0.089000 
KMTA I 7573.117070 19.302000 0.100000 
KMTA I 7573.151290 19.331000 0.091000 
KMTA I 7573.187820 19.426000 0.118000 
KMTA I 7578.871920 19.432000 0.125000 
KMTA I 7578.896200 19.344000 0.106000 
KMTA I 7579.043710 19.509000 0.115000 
KMTA I 7579.083350 19.326000 0.091000 
KMTA I 7579.871870 19.257000 0.120000 
KMTA I 7579.895120 19.410000 0.154000 
KMTA I 7579.964520 19.228000 0.105000 
KMTA I 7580.039070 19.281000 0.082000 
KMTA I 7580.074920 19.459000 0.087000 
KMTA I 7580.109530 19.516000 0.096000 
KMTA I 7580.145210 19.403000 0.125000 
KMTA I 7595.030600 19.364000 0.113000 
KMTA I 7595.075690 19.505000 0.130000 
KMTA I 7598.106870 19.635000 0.134000 
KMTA I 7598.141580 19.660000 0.135000 
KMTA I 7598.929110 19.468000 0.105000 
KMTA I 7598.967710 19.393000 0.103000 
KMTA I 7599.007020 19.455000 0.091000 
KMTA I 7599.042950 19.519000 0.070000 
KMTA I 7599.079770 19.437000 0.090000 
KMTA I 7599.117180 19.515000 0.141000 
KMTA I 7600.882610 19.385000 0.106000 
KMTA I 7600.920840 19.460000 0.111000 
KMTA I 7600.957570 19.385000 0.087000 
KMTA I 7600.999740 19.714000 0.107000 
KMTA I 7601.085940 19.398000 0.086000 
KMTA I 7601.107120 19.560000 0.108000 
KMTA I 7601.963250 19.348000 0.091000 
KMTA I 7604.895120 19.522000 0.097000 
KMTA I 7604.931600 19.374000 0.083000 
