Title: OGLE-2016-BLG-1003: First Resolved Caustic-crossing Binary-source 
       Event Discovered by Second-generation Microlensing Surveys  
Authors: Jung Y.K., Udalski A., Bond I.A., Yee J.C., Gould A., Han C., 
         Albrow M.D., Lee C.-U., Kim S.-L., Hwang K.-H., Chung S.-J., Ryu Y.-H.,
         Shin I.-G., Zhu W., Cha S.-M., Kim D.-J., Lee Y., Park B.-G., 
         Kim H.-W., Pogge R.W., Skowron J., Szymanski M.K., Poleski R., Mroz P.,
         Kozlowski S., Pietrukowicz P., Soszynski I., Ulaczyk K., Pawlak M., 
         Abe F., Bennett D.P., Barry R., Sumi T., Asakura Y., Bhattacharya A., 
         Donachie M., Fukui A., Hirao Y., Itow Y., Koshimoto N., Li M.C.A., 
         Ling C.H., Masuda K., Matsubara Y., Muraki Y., Nagakane M., 
         Rattenbury N.J., Evans P., Sharan A., Sullivan D.J., Suzuki D., 
         Tristram P.J., Yamada T., Yamada T., Yonehara A.
Figure: Light curve of OGLE-2016-BLG-1003
================================================================================
Byte-by-byte Description of file: dbf1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Obs     Observatory identifier
   6-  6 A1     ---     Filter  Filter used
   8- 18 F11.6  d       HJD     Heliocentric Julian Date; - 2450000
  20- 28 F9.6   mag     mag     Apparent magnitude in Filter
  30- 37 F8.6   mag   e_mag     Uncertainty in mag
--------------------------------------------------------------------------------
KMTC I 7512.740980 19.562000 0.090000 
KMTC I 7512.784640 19.455000 0.089000 
KMTC I 7512.822470 19.575000 0.103000 
KMTC I 7512.875080 19.640000 0.258000 
KMTC I 7512.909770 19.563000 0.126000 
KMTC I 7514.721250 19.412000 0.111000 
KMTC I 7515.815490 19.662000 0.117000 
KMTC I 7515.840480 19.287000 0.153000 
KMTC I 7516.657620 19.345000 0.074000 
KMTC I 7516.712110 19.454000 0.076000 
KMTC I 7517.653010 19.246000 0.212000 
KMTC I 7517.738650 19.304000 0.079000 
KMTC I 7517.775560 19.517000 0.131000 
KMTC I 7520.659940 19.425000 0.179000 
KMTC I 7520.715290 19.594000 0.136000 
KMTC I 7520.749930 19.102000 0.128000 
KMTC I 7520.806560 19.332000 0.113000 
KMTC I 7520.864540 19.470000 0.101000 
KMTC I 7520.905360 19.519000 0.135000 
KMTC I 7522.670390 19.130000 0.147000 
KMTC I 7522.708440 19.389000 0.097000 
KMTC I 7522.761400 19.482000 0.107000 
KMTC I 7522.796260 19.488000 0.093000 
KMTC I 7522.849420 19.161000 0.215000 
KMTC I 7523.602880 19.401000 0.122000 
KMTC I 7523.653430 19.241000 0.103000 
KMTC I 7523.692180 19.241000 0.104000 
KMTC I 7523.738370 19.302000 0.098000 
KMTC I 7523.773380 19.273000 0.072000 
KMTC I 7523.823330 19.423000 0.069000 
KMTC I 7523.865890 19.349000 0.082000 
KMTC I 7523.907710 19.289000 0.086000 
KMTC I 7524.900240 19.323000 0.096000 
KMTC I 7526.592440 19.365000 0.130000 
KMTC I 7526.630560 19.394000 0.209000 
KMTC I 7526.666810 19.103000 0.121000 
KMTC I 7526.717300 19.148000 0.097000 
KMTC I 7526.806700 19.295000 0.076000 
KMTC I 7526.857070 19.317000 0.087000 
KMTC I 7526.908580 19.305000 0.107000 
KMTC I 7528.710710 19.271000 0.088000 
KMTC I 7528.842830 19.271000 0.111000 
KMTC I 7528.905350 19.238000 0.107000 
KMTC I 7528.942140 19.371000 0.121000 
KMTC I 7529.589770 19.210000 0.156000 
KMTC I 7529.639640 19.150000 0.134000 
KMTC I 7529.688520 19.503000 0.181000 
KMTC I 7529.728360 19.106000 0.121000 
KMTC I 7530.585360 19.302000 0.226000 
KMTC I 7530.606960 19.134000 0.150000 
KMTC I 7530.645380 19.133000 0.123000 
KMTC I 7530.680870 19.445000 0.189000 
KMTC I 7530.728520 19.340000 0.126000 
KMTC I 7530.767830 19.165000 0.108000 
KMTC I 7530.807160 19.161000 0.161000 
KMTC I 7530.858220 19.137000 0.136000 
KMTC I 7530.893210 19.228000 0.148000 
KMTC I 7533.586070 19.320000 0.260000 
KMTC I 7533.742900 19.485000 0.228000 
KMTC I 7534.626910 19.119000 0.134000 
KMTC I 7534.673890 19.254000 0.064000 
KMTC I 7534.709560 19.227000 0.073000 
KMTC I 7534.754340 19.209000 0.063000 
KMTC I 7534.801310 19.164000 0.068000 
KMTC I 7534.840390 19.280000 0.068000 
KMTC I 7534.888850 19.160000 0.082000 
KMTC I 7534.924470 19.272000 0.103000 
KMTC I 7536.568370 19.178000 0.075000 
KMTC I 7536.601970 19.206000 0.123000 
KMTC I 7536.656790 19.192000 0.082000 
KMTC I 7536.698840 19.217000 0.055000 
KMTC I 7536.764780 19.182000 0.104000 
KMTC I 7536.803580 19.294000 0.054000 
KMTC I 7536.837980 19.146000 0.055000 
KMTC I 7536.883970 19.065000 0.076000 
KMTC I 7536.920650 19.184000 0.085000 
KMTC I 7545.703130 18.453000 0.038000 
KMTC I 7545.705150 18.550000 0.045000 
KMTC I 7545.906730 18.483000 0.054000 
KMTC I 7546.746310 18.477000 0.029000 
KMTC I 7546.807390 18.400000 0.030000 
KMTC I 7546.852020 18.489000 0.038000 
KMTC I 7546.906540 18.437000 0.059000 
KMTC I 7547.549330 18.368000 0.040000 
KMTC I 7547.587860 18.456000 0.039000 
KMTC I 7547.625070 18.458000 0.036000 
KMTC I 7547.674200 18.462000 0.032000 
KMTC I 7547.709490 18.474000 0.038000 
KMTC I 7547.760160 18.416000 0.039000 
KMTC I 7547.800860 18.491000 0.041000 
KMTC I 7547.835400 18.447000 0.037000 
KMTC I 7547.882540 18.429000 0.040000 
KMTC I 7548.623520 18.453000 0.032000 
KMTC I 7548.659800 18.447000 0.032000 
KMTC I 7548.716160 18.436000 0.030000 
KMTC I 7548.756140 18.408000 0.029000 
KMTC I 7548.800560 18.426000 0.031000 
KMTC I 7548.839070 18.429000 0.036000 
KMTC I 7549.634020 18.465000 0.116000 
KMTC I 7549.690040 18.391000 0.026000 
KMTC I 7549.729450 18.394000 0.031000 
KMTC I 7549.765350 18.416000 0.029000 
KMTC I 7549.813390 18.430000 0.032000 
KMTC I 7549.850170 18.403000 0.033000 
KMTC I 7549.894750 18.460000 0.050000 
KMTC I 7550.552400 18.423000 0.046000 
KMTC I 7550.583360 18.321000 0.045000 
KMTC I 7550.616790 18.416000 0.043000 
KMTC I 7550.662040 18.390000 0.043000 
KMTC I 7550.698340 18.319000 0.223000 
KMTC I 7550.805880 18.389000 0.049000 
KMTC I 7550.852010 18.377000 0.046000 
KMTC I 7551.649250 18.328000 0.030000 
KMTC I 7551.693990 18.315000 0.040000 
KMTC I 7551.735340 18.327000 0.030000 
KMTC I 7551.770080 18.313000 0.034000 
KMTC I 7554.542200 18.266000 0.106000 
KMTC I 7554.567260 18.093000 0.043000 
KMTC I 7554.605570 18.121000 0.032000 
KMTC I 7554.647790 18.126000 0.030000 
KMTC I 7554.694770 18.050000 0.061000 
KMTC I 7554.781400 18.119000 0.034000 
KMTC I 7554.816250 18.105000 0.035000 
KMTC I 7555.529130 18.028000 0.038000 
KMTC I 7555.579020 18.037000 0.027000 
KMTC I 7555.616470 18.065000 0.028000 
KMTC I 7555.667470 18.057000 0.027000 
KMTC I 7555.707910 18.021000 0.027000 
KMTC I 7555.753110 18.014000 0.027000 
KMTC I 7555.800960 18.028000 0.026000 
KMTC I 7555.837460 18.028000 0.027000 
KMTC I 7556.673340 17.857000 0.037000 
KMTC I 7556.697210 17.873000 0.092000 
KMTC I 7556.737340 17.935000 0.062000 
KMTC I 7557.514230 17.563000 0.025000 
KMTC I 7557.560710 17.565000 0.021000 
KMTC I 7557.607570 17.519000 0.020000 
KMTC I 7557.642690 17.481000 0.019000 
KMTC I 7557.690260 17.439000 0.017000 
KMTC I 7557.729610 17.384000 0.018000 
KMTC I 7557.764870 17.342000 0.018000 
KMTC I 7557.813000 17.223000 0.017000 
KMTC I 7557.848610 17.108000 0.019000 
KMTC I 7558.510680 17.302000 0.033000 
KMTC I 7558.541820 17.095000 0.026000 
KMTC I 7558.582810 16.529000 0.022000 
KMTC I 7558.619220 16.919000 0.050000 
KMTC I 7558.665770 19.049000 0.091000 
KMTC I 7558.702980 18.958000 0.108000 
KMTC I 7558.740430 19.038000 0.134000 
KMTC I 7558.832850 18.971000 0.296000 
KMTC I 7559.563980 18.954000 0.247000 
KMTC I 7559.609650 18.819000 0.159000 
KMTC I 7559.645090 19.057000 0.184000 
KMTC I 7559.712660 18.994000 0.193000 
KMTC I 7559.748890 18.935000 0.208000 
KMTC I 7559.783590 19.035000 0.259000 
KMTC I 7560.514340 18.981000 0.152000 
KMTC I 7560.528810 18.954000 0.132000 
KMTC I 7560.571470 18.960000 0.119000 
KMTC I 7560.611290 18.884000 0.102000 
KMTC I 7560.654100 18.880000 0.104000 
KMTC I 7560.700970 18.906000 0.090000 
KMTC I 7560.739680 18.972000 0.098000 
KMTC I 7560.774340 18.977000 0.111000 
KMTC I 7560.819170 18.916000 0.118000 
KMTC I 7560.859560 19.007000 0.155000 
KMTC I 7561.512370 18.932000 0.096000 
KMTC I 7561.568730 19.029000 0.082000 
KMTC I 7561.606140 19.038000 0.086000 
KMTC I 7561.644120 18.929000 0.077000 
KMTC I 7561.646900 18.927000 0.074000 
KMTC I 7561.693430 19.094000 0.067000 
KMTC I 7561.749100 18.947000 0.063000 
KMTC I 7561.791240 18.924000 0.097000 
KMTC I 7561.798960 18.939000 0.074000 
KMTC I 7561.838120 19.005000 0.099000 
KMTC I 7562.504360 19.061000 0.078000 
KMTC I 7562.519310 18.931000 0.082000 
KMTC I 7562.569010 19.105000 0.153000 
KMTC I 7562.704820 19.147000 0.181000 
KMTC I 7562.792130 18.901000 0.215000 
KMTC I 7566.544920 19.457000 0.110000 
KMTC I 7566.589260 19.139000 0.095000 
KMTC I 7566.628960 19.213000 0.073000 
KMTC I 7566.680860 19.094000 0.051000 
KMTC I 7566.700000 19.124000 0.048000 
KMTC I 7566.740300 19.152000 0.055000 
KMTC I 7566.775240 19.083000 0.071000 
KMTC I 7566.825710 19.182000 0.101000 
KMTC I 7568.497830 19.408000 0.131000 
KMTC I 7568.542990 19.108000 0.071000 
KMTC I 7568.588220 19.128000 0.064000 
KMTC I 7568.626040 19.194000 0.071000 
KMTC I 7568.661150 19.245000 0.071000 
KMTC I 7568.712450 19.122000 0.065000 
KMTC I 7568.748190 19.289000 0.092000 
KMTC I 7568.799220 19.255000 0.098000 
KMTC I 7568.841080 19.393000 0.136000 
KMTC I 7569.492630 19.497000 0.140000 
KMTC I 7569.507230 19.524000 0.151000 
KMTC I 7569.546620 19.120000 0.072000 
KMTC I 7569.604680 19.241000 0.073000 
KMTC I 7569.641460 19.227000 0.066000 
KMTC I 7569.679040 19.225000 0.079000 
KMTC I 7569.725230 19.290000 0.079000 
KMTC I 7569.760990 19.168000 0.080000 
KMTC I 7569.804260 19.320000 0.119000 
KMTC I 7570.538380 19.261000 0.106000 
KMTC I 7570.586920 19.354000 0.106000 
KMTC I 7570.688250 19.213000 0.114000 
KMTC I 7570.722800 19.201000 0.111000 
KMTC I 7570.808530 19.219000 0.070000 
KMTC I 7575.472660 19.721000 0.181000 
KMTC I 7575.552250 19.269000 0.083000 
KMTC I 7575.587230 19.389000 0.077000 
KMTC I 7575.622450 19.382000 0.196000 
KMTC I 7575.694340 19.237000 0.067000 
KMTC I 7575.739570 19.281000 0.076000 
KMTC I 7575.783770 19.276000 0.062000 
KMTC I 7575.825850 19.323000 0.075000 
KMTC I 7576.464850 19.057000 0.151000 
KMTC I 7576.498020 19.203000 0.076000 
KMTC I 7576.547230 19.291000 0.089000 
KMTC I 7576.583340 19.230000 0.095000 
KMTC I 7576.675200 19.231000 0.055000 
KMTC I 7576.723320 19.316000 0.083000 
KMTC I 7576.758570 19.287000 0.074000 
KMTC I 7576.800590 19.484000 0.109000 
KMTC I 7584.490700 19.355000 0.135000 
KMTC I 7584.533500 19.205000 0.113000 
KMTC I 7584.568900 19.245000 0.110000 
KMTC I 7584.616520 19.322000 0.108000 
KMTC I 7584.656490 19.302000 0.089000 
KMTC I 7584.691790 19.538000 0.136000 
KMTC I 7584.747050 19.349000 0.122000 
KMTC I 7584.784460 19.796000 0.221000 
KMTC I 7585.462540 19.274000 0.175000 
KMTC I 7585.503190 19.167000 0.118000 
KMTC I 7585.539380 19.392000 0.122000 
KMTC I 7585.576290 19.258000 0.119000 
KMTC I 7585.624840 19.421000 0.141000 
KMTC I 7585.667130 19.404000 0.157000 
KMTC I 7585.712330 19.431000 0.145000 
KMTC I 7586.714010 19.321000 0.238000 
KMTC I 7586.758020 19.351000 0.241000 
KMTC I 7587.539470 19.495000 0.272000 
KMTC I 7587.580860 19.431000 0.188000 
KMTC I 7587.695100 19.445000 0.212000 
KMTC I 7589.644900 19.636000 0.168000 
KMTC I 7589.754190 19.620000 0.185000 
KMTC I 7590.472210 19.513000 0.139000 
KMTC I 7590.496310 19.471000 0.096000 
KMTC I 7590.555110 19.419000 0.089000 
KMTC I 7590.590740 19.407000 0.100000 
KMTC I 7590.630300 19.546000 0.089000 
KMTC I 7590.676640 19.243000 0.091000 
KMTC I 7590.759300 19.509000 0.139000 
KMTC I 7591.479220 19.363000 0.077000 
KMTC I 7591.521450 19.508000 0.081000 
KMTC I 7591.558030 19.489000 0.069000 
KMTC I 7591.605030 19.492000 0.101000 
KMTC I 7591.650560 19.372000 0.083000 
KMTC I 7591.685620 19.482000 0.079000 
KMTC I 7591.733560 19.364000 0.129000 
KMTC I 7591.768930 19.869000 0.276000 
KMTC I 7593.482300 19.568000 0.127000 
KMTC I 7593.534290 19.500000 0.084000 
KMTC I 7593.570480 19.707000 0.096000 
KMTC I 7593.607260 19.318000 0.129000 
KMTC I 7593.655860 19.342000 0.111000 
KMTC I 7593.690810 19.522000 0.091000 
KMTC I 7595.544340 19.512000 0.143000 
KMTC I 7595.585410 19.359000 0.108000 
KMTC I 7595.628120 19.628000 0.129000 
KMTC I 7595.675830 19.510000 0.139000 
KMTC I 7595.711730 19.686000 0.141000 
KMTC I 7595.748820 19.448000 0.132000 
KMTC I 7596.490030 19.393000 0.103000 
KMTC I 7596.513690 19.549000 0.107000 
KMTC I 7596.548830 19.405000 0.117000 
KMTC I 7596.593900 19.334000 0.217000 
KMTC I 7597.467880 19.387000 0.147000 
KMTC I 7597.537770 19.449000 0.092000 
KMTC I 7597.573480 19.470000 0.087000 
KMTC I 7597.621470 19.387000 0.087000 
KMTC I 7597.656510 19.465000 0.107000 
KMTC I 7597.695930 19.429000 0.083000 
KMTC I 7597.744160 19.512000 0.113000 
KMTC I 7598.477580 19.836000 0.143000 
KMTC I 7598.511820 19.495000 0.107000 
KMTC I 7598.559830 19.507000 0.088000 
KMTC I 7598.599960 19.626000 0.092000 
KMTC I 7598.635260 19.418000 0.113000 
KMTC I 7598.686170 19.397000 0.078000 
KMTC I 7598.722370 19.306000 0.160000 
KMTC I 7598.771550 19.553000 0.144000 
KMTC I 7599.469680 19.377000 0.090000 
KMTC I 7599.491730 19.506000 0.079000 
KMTC I 7599.533420 19.590000 0.071000 
KMTC I 7599.568080 19.460000 0.078000 
KMTC I 7599.619640 19.498000 0.061000 
KMTC I 7599.656540 19.595000 0.078000 
KMTC I 7599.695280 19.488000 0.090000 
KMTC I 7599.744040 19.542000 0.093000 
KMTC I 7600.476190 19.465000 0.073000 
KMTC I 7600.519390 19.509000 0.062000 
KMTC I 7600.564210 19.637000 0.098000 
KMTC I 7600.609950 19.534000 0.073000 
KMTC I 7600.651860 19.394000 0.112000 
KMTC I 7601.488590 19.583000 0.111000 
KMTC I 7601.503050 19.583000 0.110000 
KMTC I 7601.538550 19.603000 0.088000 
KMTC I 7601.594740 19.402000 0.155000 
KMTC I 7601.631200 19.585000 0.112000 
KMTC I 7601.673900 19.263000 0.086000 
KMTC I 7601.712890 19.566000 0.119000 
KMTC I 7602.476380 19.457000 0.107000 
KMTC I 7602.491060 19.681000 0.128000 
KMTC I 7602.537170 19.493000 0.086000 
KMTC I 7602.572660 19.524000 0.082000 
KMTC I 7602.613360 19.522000 0.106000 
KMTC I 7602.660370 19.460000 0.077000 
KMTC I 7602.669110 19.514000 0.075000 
KMTC I 7602.705980 19.516000 0.088000 
KMTC I 7603.493460 19.480000 0.081000 
KMTC I 7603.528830 19.526000 0.063000 
KMTC I 7603.564170 19.507000 0.064000 
KMTC I 7603.611730 19.526000 0.065000 
KMTC I 7603.647010 19.439000 0.064000 
KMTC I 7603.691060 19.486000 0.066000 
KMTC I 7603.729680 19.547000 0.086000 
KMTC I 7605.478780 19.433000 0.075000 
KMTC I 7605.519300 19.538000 0.061000 
KMTC I 7605.554090 19.509000 0.070000 
KMTC I 7605.605210 19.468000 0.065000 
KMTC I 7605.640990 19.457000 0.074000 
KMTC I 7605.676440 19.496000 0.073000 
KMTC I 7606.493140 19.412000 0.079000 
KMTC I 7606.540770 19.430000 0.088000 
KMTC I 7606.579590 19.495000 0.080000 
KMTC I 7606.626110 19.421000 0.082000 
KMTC I 7606.673080 19.495000 0.093000 
KMTC I 7606.708160 19.462000 0.089000 
KMTC I 7607.482500 19.501000 0.066000 
KMTC I 7607.523010 19.482000 0.072000 
KMTC I 7607.559160 19.607000 0.082000 
KMTC I 7607.615220 19.461000 0.068000 
KMTC I 7607.651480 19.536000 0.079000 
KMTC I 7607.687470 19.480000 0.089000 
KMTC I 7608.475020 19.582000 0.083000 
KMTC I 7608.512850 19.525000 0.080000 
KMTC I 7608.559490 19.580000 0.078000 
KMTC I 7608.604540 19.508000 0.071000 
KMTC I 7608.641620 19.482000 0.078000 
KMTC I 7608.703090 19.559000 0.086000 
KMTC I 7608.740620 19.361000 0.091000 
KMTC I 7609.476000 19.449000 0.073000 
KMTC I 7609.515060 19.507000 0.067000 
KMTC I 7609.576230 19.525000 0.065000 
KMTC I 7609.611620 19.502000 0.074000 
KMTC I 7609.662170 19.445000 0.071000 
KMTC I 7609.701270 19.513000 0.081000 
KMTC I 7610.480070 19.672000 0.168000 
KMTC I 7610.527470 19.591000 0.090000 
KMTC I 7610.567870 19.527000 0.062000 
KMTC I 7610.615520 19.569000 0.079000 
KMTC I 7610.665250 19.530000 0.099000 
KMTC I 7610.700570 19.551000 0.102000 
KMTC I 7611.494950 19.457000 0.130000 
KMTC I 7611.608730 19.595000 0.113000 
KMTC I 7611.645080 19.794000 0.157000 
KMTC I 7611.696790 19.497000 0.116000 
KMTC I 7612.478820 19.448000 0.097000 
KMTC I 7612.521190 19.514000 0.100000 
KMTC I 7612.562360 19.424000 0.086000 
KMTC I 7612.600950 19.485000 0.093000 
KMTC I 7612.648530 19.448000 0.100000 
KMTC I 7612.683800 19.446000 0.118000 
KMTC I 7612.720140 19.390000 0.108000 
KMTC I 7613.469640 19.435000 0.147000 
KMTC I 7613.517350 19.641000 0.124000 
KMTC I 7613.559920 19.433000 0.118000 
KMTC I 7613.644340 19.352000 0.148000 
KMTC I 7613.679590 19.436000 0.162000 
KMTC I 7613.725770 19.379000 0.162000 
KMTC I 7614.472790 19.549000 0.217000 
KMTC I 7614.547270 19.780000 0.244000 
KMTC I 7614.604710 19.519000 0.216000 
KMTC I 7614.655760 19.123000 0.164000 
KMTC I 7615.493570 19.357000 0.130000 
KMTC I 7615.530550 19.113000 0.199000 
KMTC I 7615.658580 19.446000 0.147000 
KMTC I 7615.703820 19.386000 0.196000 
KMTC I 7616.472980 19.507000 0.125000 
KMTC I 7616.512660 19.430000 0.117000 
KMTC I 7616.559500 19.622000 0.098000 
KMTC I 7616.605220 19.454000 0.088000 
KMTC I 7616.640530 19.664000 0.113000 
KMTC I 7616.688840 19.640000 0.130000 
KMTC I 7617.501670 19.649000 0.186000 
KMTC I 7617.544330 19.488000 0.080000 
KMTC I 7617.583470 19.419000 0.081000 
KMTC I 7617.620330 19.512000 0.084000 
KMTC I 7617.682190 19.418000 0.103000 
KMTC I 7618.497520 19.556000 0.092000 
KMTC I 7618.533440 19.563000 0.085000 
KMTC I 7618.581460 19.388000 0.080000 
KMTC I 7618.616520 19.519000 0.088000 
KMTC I 7618.660080 19.676000 0.121000 
KMTC I 7619.470660 19.354000 0.109000 
KMTC I 7619.507740 19.407000 0.105000 
KMTC I 7619.560420 19.558000 0.157000 
KMTC I 7619.596530 19.848000 0.209000 
KMTC I 7619.632210 19.474000 0.146000 
KMTC I 7619.680760 19.701000 0.164000 
KMTC I 7620.489090 19.520000 0.137000 
KMTC I 7620.536650 19.767000 0.189000 
KMTC I 7620.661170 19.590000 0.159000 
KMTC I 7621.472010 19.505000 0.109000 
KMTC I 7621.514850 19.750000 0.137000 
KMTC I 7621.556690 19.405000 0.083000 
KMTC I 7621.593580 19.386000 0.109000 
KMTC I 7621.642650 19.607000 0.105000 
KMTC I 7621.680280 19.544000 0.104000 
KMTC I 7622.506060 19.630000 0.080000 
KMTC I 7622.559130 19.591000 0.096000 
KMTC I 7622.594650 19.562000 0.103000 
KMTC I 7622.637230 19.567000 0.113000 
KMTC I 7622.677410 19.667000 0.148000 
KMTC I 7623.500470 19.585000 0.075000 
KMTC I 7623.550660 19.525000 0.084000 
KMTC I 7623.587280 19.454000 0.079000 
KMTC I 7623.622800 19.482000 0.094000 
KMTC I 7623.669470 19.764000 0.154000 
KMTC I 7624.500370 19.438000 0.136000 
KMTC I 7624.552760 19.573000 0.108000 
KMTC I 7624.590440 19.514000 0.097000 
KMTC I 7624.626080 19.614000 0.113000 
KMTC I 7624.676720 19.980000 0.185000 
KMTC I 7625.499440 19.545000 0.090000 
KMTC I 7625.548670 19.473000 0.093000 
KMTC I 7625.589690 19.395000 0.091000 
KMTC I 7625.626160 19.396000 0.081000 
KMTC I 7625.672960 19.572000 0.101000 
KMTC I 7626.498160 19.608000 0.095000 
KMTC I 7626.534840 19.526000 0.079000 
KMTC I 7626.582140 19.473000 0.080000 
KMTC I 7626.629370 19.642000 0.116000 
KMTC I 7626.673240 19.665000 0.115000 
KMTC I 7628.517020 19.083000 0.169000 
KMTC I 7628.518580 19.159000 0.190000 
KMTC I 7629.504470 19.573000 0.135000 
KMTC I 7629.613610 19.354000 0.106000 
KMTC I 7629.650240 19.554000 0.117000 
KMTC I 7630.494770 19.523000 0.081000 
KMTC I 7630.542000 19.495000 0.068000 
KMTC I 7630.585290 19.512000 0.065000 
KMTC I 7630.630410 19.452000 0.066000 
KMTC I 7631.483580 19.599000 0.074000 
KMTC I 7631.523890 19.525000 0.070000 
KMTC I 7631.577070 19.429000 0.098000 
KMTC I 7631.612380 19.700000 0.123000 
KMTC I 7631.653100 19.507000 0.108000 
KMTC I 7632.586830 19.621000 0.077000 
KMTC I 7632.625340 19.537000 0.093000 
KMTC I 7632.674930 19.601000 0.108000 
KMTC I 7632.677070 19.588000 0.095000 
KMTC I 7633.511270 19.740000 0.137000 
KMTC I 7633.549760 19.678000 0.117000 
KMTC I 7633.595940 19.756000 0.123000 
KMTC I 7633.633930 19.623000 0.122000 
KMTC I 7635.490720 19.426000 0.131000 
KMTC I 7635.530870 19.662000 0.139000 
KMTC I 7635.567470 19.381000 0.114000 
KMTC I 7635.618130 19.418000 0.107000 
KMTC I 7635.654620 19.387000 0.116000 
KMTC I 7636.512570 19.466000 0.101000 
KMTC I 7636.560540 19.414000 0.103000 
KMTC I 7636.606440 19.692000 0.148000 
KMTC I 7636.649810 20.010000 0.201000 
KMTC I 7637.509610 19.546000 0.073000 
KMTC I 7637.545170 19.528000 0.073000 
KMTC I 7637.592940 19.497000 0.099000 
KMTC I 7637.627970 19.520000 0.119000 
KMTC I 7638.516900 19.617000 0.142000 
KMTC I 7638.581550 19.494000 0.088000 
KMTC I 7638.624470 19.596000 0.126000 
KMTC I 7639.476490 19.607000 0.136000 
KMTC I 7639.513320 19.414000 0.087000 
KMTC I 7639.549010 19.547000 0.090000 
KMTC I 7639.595160 19.535000 0.085000 
KMTC I 7639.630180 19.707000 0.104000 
KMTC I 7640.475160 19.575000 0.157000 
KMTC I 7640.518710 19.552000 0.112000 
KMTC I 7640.594600 19.747000 0.147000 
KMTC I 7641.476680 19.757000 0.217000 
KMTC I 7641.513330 19.317000 0.136000 
KMTC I 7641.525050 19.535000 0.156000 
KMTC I 7641.560750 19.654000 0.184000 
KMTC I 7641.607590 19.623000 0.204000 
KMTC I 7642.486260 19.447000 0.115000 
KMTC I 7642.529190 19.734000 0.199000 
KMTC I 7642.569690 19.335000 0.123000 
KMTC I 7642.608030 19.346000 0.179000 
KMTC I 7642.609500 19.321000 0.168000 
KMTC I 7643.519480 19.392000 0.104000 
KMTC I 7643.555030 19.667000 0.154000 
KMTC I 7643.590510 19.441000 0.131000 
KMTC I 7644.486030 19.468000 0.152000 
KMTC I 7644.522090 19.264000 0.147000 
KMTC I 7644.568080 19.461000 0.169000 
KMTC I 7645.493210 19.566000 0.185000 
KMTC I 7645.539870 19.578000 0.150000 
KMTC I 7645.575480 19.547000 0.145000 
KMTC I 7645.611060 19.721000 0.192000 
KMTC I 7647.513570 19.590000 0.108000 
KMTC I 7647.548570 19.409000 0.101000 
KMTC I 7647.597000 19.694000 0.161000 
KMTC I 7648.505780 19.437000 0.085000 
KMTC I 7648.542910 19.520000 0.088000 
KMTC I 7648.589730 19.425000 0.098000 
KMTC I 7649.506440 19.560000 0.095000 
KMTC I 7649.549280 19.357000 0.104000 
KMTC I 7649.593520 19.925000 0.203000 
KMTC I 7650.502150 19.684000 0.126000 
KMTC I 7650.563210 19.524000 0.151000 
KMTC I 7650.600770 19.848000 0.200000 
KMTC I 7651.508550 19.619000 0.132000 
KMTC I 7651.557030 19.508000 0.111000 
KMTC I 7651.593390 19.444000 0.122000 
KMTC I 7653.504070 19.443000 0.087000 
KMTC I 7653.549200 19.704000 0.123000 
KMTC I 7653.588830 19.701000 0.134000 
KMTC I 7654.528020 19.555000 0.104000 
KMTC I 7654.576480 19.540000 0.098000 
KMTC I 7655.507410 19.449000 0.091000 
KMTC I 7655.555390 19.445000 0.088000 
KMTC I 7655.591140 19.633000 0.118000 
KMTC I 7656.493830 19.594000 0.103000 
KMTC I 7656.529590 19.373000 0.092000 
KMTC I 7656.577630 19.605000 0.112000 
KMTC I 7657.523590 19.456000 0.082000 
KMTC I 7657.570940 19.597000 0.096000 
KMTC I 7658.512020 19.628000 0.096000 
KMTC I 7658.554560 19.581000 0.103000 
KMTC I 7659.537480 19.551000 0.099000 
KMTC I 7660.553050 19.479000 0.097000 
KMTC I 7661.499380 19.549000 0.096000 
KMTC I 7661.542290 19.490000 0.088000 
KMTC I 7662.490490 19.477000 0.097000 
KMTC I 7662.527040 19.678000 0.117000 
KMTC I 7662.537340 19.542000 0.094000 
KMTC I 7663.504430 19.530000 0.083000 
KMTC I 7663.543180 19.513000 0.074000 
KMTC I 7663.554940 19.541000 0.096000 
KMTC I 7664.513060 19.472000 0.113000 
KMTC I 7664.560790 19.591000 0.135000 
KMTC I 7666.522550 19.560000 0.103000 
KMTC I 7667.503450 19.575000 0.094000 
KMTC I 7667.545170 19.576000 0.103000 
KMTC I 7668.517640 19.641000 0.136000 
KMTC I 7669.507400 19.552000 0.118000 
KMTC I 7669.542550 19.453000 0.116000 
KMTC I 7670.531100 19.480000 0.105000 
KMTC I 7671.537200 19.370000 0.104000 
KMTC I 7673.515000 19.596000 0.105000 
KMTC I 7675.487610 19.575000 0.136000 
KMTC I 7675.531180 19.627000 0.161000 
KMTC I 7676.529480 19.620000 0.183000 
KMTC V 7445.875160 19.272000 0.231000 
KMTC V 7454.820770 19.678000 0.183000 
KMTC V 7457.899100 19.661000 0.194000 
KMTC V 7466.858050 19.323000 0.235000 
KMTC V 7475.856100 19.081000 0.274000 
KMTC V 7481.808720 19.200000 0.144000 
