# HJD mag err
2456792.833080 19.810 0.113
2456792.866280 19.660 0.123
2456796.604820 19.623 0.109
2456796.648960 19.798 0.099
2456796.697150 19.629 0.098
2456796.740830 19.516 0.082
2456796.788440 19.523 0.090
2456796.837760 19.678 0.091
2456796.882580 19.441 0.068
2456796.926940 19.437 0.093
2456797.626060 19.959 0.125
2456797.662450 19.787 0.122
2456797.765930 19.501 0.073
2456797.812380 19.888 0.155
2456797.855890 19.924 0.146
2456797.895220 19.777 0.140
2456797.934010 19.291 0.115
2456798.671050 19.747 0.118
2456798.756540 20.185 0.246
2456798.817420 19.975 0.217
2456798.862140 20.038 0.232
2456799.783050 19.721 0.162
2456799.857570 19.505 0.141
2456799.915330 19.406 0.118
2456803.690770 19.435 0.067
2456803.739030 19.761 0.065
2456803.789330 19.567 0.062
2456803.837610 19.447 0.067
2456803.879160 19.650 0.081
2456803.917180 19.530 0.078
2456804.571690 20.025 0.178
2456804.615720 19.648 0.075
2456804.664020 19.729 0.078
2456804.717500 19.647 0.062
2456804.766370 19.508 0.069
2456804.821460 19.848 0.108
2456804.865940 19.756 0.093
2456804.907540 19.574 0.107
2456805.619360 19.734 0.104
2456805.669010 19.730 0.116
2456805.715560 19.482 0.072
2456805.782990 19.453 0.071
2456805.826780 19.547 0.088
2456805.870240 19.656 0.118
2456806.849130 19.679 0.100
2456806.896110 19.473 0.112
2456807.636470 19.838 0.152
2456807.697960 19.878 0.144
2456807.747820 19.708 0.123
2456807.795180 19.668 0.103
2456807.839960 19.812 0.124
2456807.883870 19.717 0.133
2456808.597380 19.868 0.137
2456808.643230 19.716 0.097
2456808.689880 19.584 0.064
2456808.757420 19.596 0.063
2456808.802800 19.780 0.087
2456808.848300 19.559 0.073
2456808.892620 19.787 0.093
2456808.931960 19.587 0.125
2456809.587930 19.852 0.092
2456809.646250 19.591 0.062
2456809.703750 19.626 0.045
2456809.816840 19.599 0.074
2456809.871170 19.565 0.095
2456809.913180 19.601 0.114
2456810.583700 19.700 0.102
2456810.630890 19.504 0.072
2456810.676630 19.616 0.074
2456810.733360 19.621 0.064
2456810.788720 19.688 0.071
2456810.842750 19.734 0.089
2456810.888080 19.816 0.112
2456810.928420 19.489 0.125
2456811.582580 19.558 0.116
2456811.626770 19.470 0.090
2456811.674120 19.505 0.074
2456811.792580 19.837 0.112
2456811.838790 19.859 0.119
