# HJD mag err
2457600.882610 19.385 0.106
2457600.920840 19.460 0.111
2457600.957570 19.385 0.087
2457600.999740 19.714 0.107
2457601.085940 19.398 0.086
2457601.107120 19.560 0.108
2457601.963250 19.348 0.091
2457604.895120 19.522 0.097
2457604.931600 19.374 0.083
2457604.972560 19.319 0.093
2457605.921330 19.545 0.125
2457605.961510 19.550 0.114
2457607.912730 19.432 0.117
2457607.953390 19.371 0.094
2457607.989960 19.547 0.119
2457608.024570 19.455 0.121
2457608.060990 19.775 0.130
2457608.097000 19.485 0.106
2457608.908530 19.412 0.111
2457608.948400 19.494 0.108
2457608.995220 19.471 0.099
2457609.031360 19.337 0.095
2457609.067660 19.757 0.125
2457609.104500 19.520 0.110
2457612.953970 19.286 0.156
2457615.911800 19.408 0.192
2457615.959890 19.472 0.137
2457616.004200 19.372 0.129
2457616.041290 19.339 0.131
2457616.083480 19.435 0.135
2457616.926150 19.707 0.179
2457616.965750 19.580 0.155
2457617.003390 19.435 0.129
2457617.040770 19.664 0.174
2457617.082060 19.396 0.140
2457617.912610 19.397 0.143
2457617.954260 19.464 0.146
2457617.999730 19.422 0.127
2457618.058260 19.607 0.172
2457618.884830 19.628 0.188
2457618.926150 19.510 0.166
2457618.968030 19.457 0.141
2457619.004910 19.481 0.137
2457619.048690 19.537 0.146
2457621.017670 19.768 0.177
2457621.945900 19.767 0.160
2457622.055900 19.492 0.138
2457627.887740 19.780 0.128
2457627.930220 19.498 0.088
2457627.967210 19.525 0.108
2457628.002230 19.538 0.110
2457628.037750 19.447 0.123
2457628.897580 19.548 0.133
2457628.973860 19.537 0.103
2457629.012260 19.529 0.106
2457629.051230 19.424 0.098
2457629.927550 19.352 0.130
2457629.963420 19.451 0.100
2457630.006560 19.390 0.094
2457630.043810 19.403 0.082
2457636.018520 19.704 0.163
2457636.966470 19.578 0.130
2457637.003260 19.844 0.151
2457637.877610 19.515 0.136
2457637.914050 19.609 0.135
2457637.950070 19.618 0.124
2457637.986560 19.501 0.121
2457638.909850 19.681 0.139
2457638.985430 19.389 0.105
2457639.895840 19.416 0.119
2457639.932010 19.324 0.132
2457654.896760 19.614 0.139
2457654.934230 19.794 0.149
2457654.970120 19.579 0.106
2457662.941310 19.470 0.116
2457667.926030 19.322 0.131
2457667.946010 19.413 0.154
2457670.899860 19.296 0.117
