# HJD mag err
2457525.475930 19.246 0.083
2457526.342880 19.232 0.133
2457526.374200 19.396 0.135
2457526.427970 19.496 0.130
2457526.477220 19.262 0.117
2457525.546370 19.320 0.082
2457525.598110 19.253 0.091
2457526.548920 19.190 0.094
2457526.602770 19.151 0.095
2457526.677750 19.489 0.170
2457529.337900 18.992 0.141
2457529.388390 19.346 0.156
2457529.437410 19.359 0.163
2457529.487430 19.214 0.133
2457529.550370 19.350 0.242
2457529.601970 19.069 0.199
2457529.662940 19.768 0.284
2457531.371730 19.187 0.293
2457534.455150 19.202 0.120
2457534.486080 19.093 0.088
2457534.542030 19.240 0.085
2457534.589960 19.153 0.091
2457534.663480 19.232 0.115
2457535.318020 19.044 0.094
2457535.360730 19.242 0.122
2457535.418020 19.162 0.100
2457535.561000 19.156 0.092
2457535.614360 19.207 0.125
2457536.315890 19.264 0.127
2457536.378810 19.210 0.085
2457536.428030 19.187 0.078
2457536.487190 19.170 0.064
2457536.542990 19.212 0.087
2457536.593990 19.196 0.089
2457536.663110 19.504 0.165
2457537.312160 19.364 0.137
2457537.364700 19.182 0.095
2457537.418830 19.165 0.089
2457537.470630 19.292 0.093
2457537.527130 19.197 0.086
2457537.583380 19.233 0.101
2457537.638930 19.223 0.114
2457538.310800 19.130 0.120
2457538.331420 19.103 0.091
2457538.380860 19.030 0.078
2457538.437590 19.061 0.073
2457538.493020 19.158 0.082
2457538.554180 19.166 0.099
2457538.600640 19.214 0.119
2457538.664020 19.004 0.100
2457539.307120 19.296 0.115
2457539.355040 19.153 0.085
2457539.410150 19.104 0.071
2457539.462030 19.133 0.079
2457539.513220 19.056 0.097
2457540.382850 19.168 0.100
2457540.431020 19.130 0.076
2457541.307850 17.573 0.024
2457541.361380 17.675 0.023
2457541.424010 17.740 0.022
2457541.478600 17.837 0.036
2457541.536360 17.804 0.023
2457541.602870 17.865 0.022
2457542.311940 18.147 0.045
2457542.372600 18.107 0.031
2457542.422360 18.116 0.030
2457542.474040 18.101 0.029
2457542.535580 18.187 0.033
2457542.592790 18.247 0.034
2457542.657320 18.187 0.038
2457544.311310 18.438 0.067
2457545.300630 18.381 0.040
2457545.329750 18.293 0.035
2457545.382210 18.318 0.033
2457545.441480 18.306 0.029
2457545.492240 18.383 0.033
2457545.555460 18.367 0.040
2457545.604690 18.423 0.050
2457545.658370 18.445 0.062
2457546.297280 18.292 0.045
2457546.358260 18.378 0.035
2457546.411550 18.322 0.030
2457546.467060 18.351 0.031
2457546.528540 18.287 0.035
2457546.580400 18.397 0.042
2457546.644070 18.424 0.049
2457547.296330 18.345 0.044
2457547.337280 18.403 0.042
2457547.386730 18.360 0.033
2457547.443000 18.366 0.033
2457547.500860 18.330 0.045
2457547.561560 18.382 0.044
2457547.620620 18.331 0.045
2457547.623540 18.355 0.048
2457548.296590 18.417 0.063
2457548.313670 18.318 0.055
2457548.367610 18.369 0.045
2457548.414970 18.340 0.044
2457548.471540 18.298 0.047
2457548.526670 18.409 0.052
2457548.574520 18.336 0.045
2457551.356960 18.288 0.065
2457551.407730 18.184 0.040
2457551.491120 18.248 0.047
2457552.297990 18.169 0.047
2457552.356440 18.156 0.039
2457552.413950 18.142 0.032
2457552.463770 18.229 0.046
2457552.518880 18.189 0.043
2457552.574100 18.254 0.052
2457556.304880 17.874 0.043
2457556.374330 17.797 0.037
2457556.424180 17.793 0.032
2457556.483460 17.722 0.035
2457556.539270 17.827 0.043
2457556.616500 17.804 0.032
2457557.259430 17.588 0.039
2457557.295160 17.656 0.041
2457557.331640 17.582 0.035
2457557.369510 17.602 0.038
2457557.405930 17.478 0.030
2457557.445920 17.502 0.031
2457557.492910 17.467 0.038
