# HJD mag err
2457222.111111 19.413 0.186
2457222.790647 20.100 0.281
2457222.857364 19.654 0.147
2457222.890722 19.920 0.272
2457222.972328 19.811 0.147
2457223.008306 19.674 0.115
2457223.041664 20.000 0.141
2457223.075022 19.691 0.156
2457223.108391 19.890 0.117
2457223.141739 19.885 0.166
2457223.890370 19.891 0.218
2457223.923748 19.789 0.174
2457223.991884 19.661 0.099
2457224.072440 19.982 0.180
2457224.108088 19.834 0.185
2457224.174825 19.559 0.256
2457224.800941 20.031 0.264
2457224.834309 19.870 0.195
2457224.914875 19.841 0.141
2457224.948223 19.778 0.111
2457224.982891 19.769 0.114
2457225.018949 19.908 0.134
2457225.052308 19.840 0.135
2457225.085656 19.817 0.136
2457225.152362 19.463 0.142
2457225.185740 19.568 0.282
2457225.795667 20.158 0.267
2457225.829055 19.990 0.169
2457225.868293 19.993 0.136
2457225.901661 19.913 0.123
2457225.981207 20.024 0.193
2457226.017235 19.595 0.114
2457226.050583 19.837 0.145
2457226.083951 19.983 0.167
2457226.117319 19.681 0.160
2457227.806903 19.891 0.176
2457227.847150 19.460 0.132
2457227.930466 19.831 0.150
2457227.969733 19.742 0.115
2457228.005711 19.940 0.119
2457228.039059 19.759 0.131
2457228.105795 19.934 0.197
2457233.912054 19.560 0.249
2457233.998268 19.477 0.183
2457234.031626 19.678 0.218
2457234.098492 19.767 0.267
2457239.003023 20.045 0.177
2457239.040970 19.764 0.281
2457239.808375 19.468 0.255
2457239.841713 19.557 0.159
2457239.913067 19.959 0.195
2457240.906984 19.648 0.167
2457240.943322 19.726 0.163
2457242.866697 19.639 0.240
2457242.918473 19.899 0.239
2457244.032018 19.827 0.123
2457244.065385 19.601 0.122
2457244.810007 19.901 0.177
2457244.843355 20.053 0.211
2457245.003312 19.879 0.153
2457245.038960 19.888 0.190
2457245.072327 19.800 0.189
2457245.105674 20.068 0.235
2457245.816188 19.576 0.217
2457245.849546 19.763 0.139
2457245.886793 19.700 0.131
2457245.921470 19.756 0.147
2457245.960257 19.766 0.133
2457250.818121 20.076 0.204
2457250.892105 19.695 0.114
2457250.934781 19.954 0.141
2457250.969568 19.951 0.147
2457251.005205 19.757 0.116
2457251.084969 19.873 0.222
2457253.887560 19.558 0.174
2457253.928146 19.428 0.186
2457254.007170 19.605 0.171
2457254.041687 19.930 0.163
2457254.075304 19.561 0.125
2457254.924300 19.754 0.189
2457254.957757 19.895 0.194
2457254.991124 19.706 0.133
2457255.814862 19.486 0.260
2457255.882946 19.713 0.142
2457255.918893 19.790 0.145
2457255.952370 19.853 0.140
2457255.985767 19.799 0.141
2457256.924694 19.727 0.125
2457256.958061 19.855 0.157
2457256.992548 19.618 0.143
2457257.025945 19.936 0.226
2457257.059312 19.879 0.209
2457257.828944 19.822 0.176
2457257.862321 19.794 0.142
2457257.900617 19.733 0.184
2457257.936474 19.675 0.227
2457260.926344 19.669 0.193
2457260.954842 19.511 0.178
2457260.981529 19.690 0.219
2457261.819232 19.809 0.203
2457261.896335 19.780 0.184
2457261.924853 19.750 0.156
2457261.951660 19.567 0.143
2457263.863763 19.663 0.291
2457265.864606 19.647 0.293
2457268.812697 19.864 0.183
2457269.854757 19.591 0.113
2457269.891394 20.113 0.168
2457269.933030 19.725 0.161
2457270.866910 19.861 0.159
2457270.901387 19.739 0.127
2457270.935003 19.581 0.179
2457270.970660 19.908 0.151
2457271.930288 19.696 0.238
2457272.854328 19.765 0.135
2457272.892564 19.937 0.171
2457272.925921 19.824 0.117
2457272.959268 19.760 0.131
2457272.992605 19.794 0.136
2457273.862230 19.594 0.114
2457273.895627 19.964 0.177
2457273.931294 19.842 0.182
2457278.827445 19.790 0.192
2457278.860792 19.594 0.150
2457278.894189 19.998 0.208
2457278.927525 19.972 0.147
2457279.007638 19.623 0.158
2457281.852408 19.587 0.184
2457285.828866 19.792 0.188
2457285.855354 20.048 0.274
2457285.888710 19.812 0.194
2457285.922057 19.750 0.192
2457285.955404 19.996 0.226
2457286.882543 19.838 0.198
2457286.915879 19.552 0.214
2457287.000761 19.305 0.208
2457287.839729 19.884 0.179
2457287.873065 20.028 0.190
2457287.906762 19.760 0.166
2457289.832963 19.861 0.282
2457291.935018 19.824 0.254
2457292.869987 20.122 0.236
2457292.949909 19.520 0.164
2457292.984416 19.374 0.191
2457294.835386 19.718 0.169
2457294.869893 19.877 0.236
2457294.948025 19.376 0.243
2457297.836628 19.949 0.162
2457303.843742 19.499 0.120
2457303.872529 19.892 0.193
2457303.905876 20.319 0.289
2457304.848299 19.953 0.290
2457304.881656 19.634 0.135
2457305.843988 19.437 0.153
2457309.856247 19.784 0.201
2457309.889614 20.151 0.249
2457326.874819 19.590 0.296
2457327.876497 19.399 0.227
2457421.168042 19.820 0.262
2457424.172831 19.974 0.267
2457426.177710 19.657 0.199
2457430.170608 19.692 0.141
2457432.112712 19.882 0.242
2457432.126704 20.144 0.272
2457432.157786 19.862 0.167
2457440.204724 19.696 0.263
2457449.088105 19.591 0.268
2457449.127218 19.755 0.219
2457452.116920 19.531 0.279
2457459.120092 19.360 0.217
2457459.205160 20.049 0.219
2457461.043963 19.938 0.169
2457461.104959 20.103 0.202
2457461.158564 20.045 0.235
2457461.225431 19.746 0.236
2457465.062463 20.061 0.237
2457465.101587 19.660 0.115
2457465.192366 19.946 0.179
2457465.229180 19.908 0.162
2457469.117125 19.814 0.277
2457470.185461 19.786 0.153
2457474.062531 19.755 0.189
2457474.155040 19.897 0.173
2457474.246179 19.720 0.187
2457475.151558 20.049 0.297
2457475.213064 19.898 0.247
2457476.024272 19.672 0.274
2457476.115061 19.934 0.212
2457476.150734 19.723 0.196
