# HJD mag err
2457509.801260 19.460 0.081
2457511.634720 19.459 0.095
2457511.725090 19.468 0.068
2457511.759560 19.513 0.075
2457511.805930 19.499 0.080
2457511.845630 19.477 0.068
2457511.892960 19.525 0.093
2457512.653940 19.775 0.170
2457512.691740 19.653 0.162
2457512.740980 19.562 0.090
2457512.784640 19.455 0.089
2457512.822470 19.575 0.103
2457512.875080 19.640 0.258
2457512.909770 19.563 0.126
2457514.721250 19.412 0.111
2457515.815490 19.662 0.117
2457515.840480 19.287 0.153
2457516.657620 19.345 0.074
2457516.712110 19.454 0.076
2457517.653010 19.246 0.212
2457517.738650 19.304 0.079
2457517.775560 19.517 0.131
2457520.659940 19.425 0.179
2457520.715290 19.594 0.136
2457520.749930 19.102 0.128
2457520.806560 19.332 0.113
2457520.864540 19.470 0.101
2457520.905360 19.519 0.135
2457522.670390 19.130 0.147
2457522.708440 19.389 0.097
2457522.761400 19.482 0.107
2457522.796260 19.488 0.093
2457522.849420 19.161 0.215
2457523.602880 19.401 0.122
2457523.653430 19.241 0.103
2457523.692180 19.241 0.104
2457523.738370 19.302 0.098
2457523.773380 19.273 0.072
2457523.823330 19.423 0.069
2457523.865890 19.349 0.082
2457523.907710 19.289 0.086
2457524.900240 19.323 0.096
2457526.592440 19.365 0.130
2457526.630560 19.394 0.209
2457526.666810 19.103 0.121
2457526.717300 19.148 0.097
2457526.806700 19.295 0.076
2457526.857070 19.317 0.087
2457526.908580 19.305 0.107
2457528.710710 19.271 0.088
2457528.842830 19.271 0.111
2457528.905350 19.238 0.107
2457528.942140 19.371 0.121
2457529.589770 19.210 0.156
2457529.639640 19.150 0.134
2457529.688520 19.503 0.181
2457529.728360 19.106 0.121
2457530.585360 19.302 0.226
2457530.606960 19.134 0.150
2457530.645380 19.133 0.123
2457530.680870 19.445 0.189
2457530.728520 19.340 0.126
2457530.767830 19.165 0.108
2457530.807160 19.161 0.161
2457530.858220 19.137 0.136
2457530.893210 19.228 0.148
2457533.586070 19.320 0.260
2457533.742900 19.485 0.228
2457534.626910 19.119 0.134
2457534.673890 19.254 0.064
2457534.709560 19.227 0.073
2457534.754340 19.209 0.063
2457534.801310 19.164 0.068
2457534.840390 19.280 0.068
2457534.888850 19.160 0.082
2457534.924470 19.272 0.103
2457536.568370 19.178 0.075
2457536.601970 19.206 0.123
2457536.656790 19.192 0.082
2457536.698840 19.217 0.055
2457536.764780 19.182 0.104
2457536.803580 19.294 0.054
2457536.837980 19.146 0.055
2457536.883970 19.065 0.076
2457536.920650 19.184 0.085
2457545.703130 18.453 0.038
2457545.705150 18.550 0.045
2457545.906730 18.483 0.054
2457546.746310 18.477 0.029
2457546.807390 18.400 0.030
2457546.852020 18.489 0.038
2457546.906540 18.437 0.059
2457547.549330 18.368 0.040
2457547.587860 18.456 0.039
2457547.625070 18.458 0.036
2457547.674200 18.462 0.032
2457547.709490 18.474 0.038
2457547.760160 18.416 0.039
2457547.800860 18.491 0.041
2457547.835400 18.447 0.037
2457547.882540 18.429 0.040
2457548.623520 18.453 0.032
2457548.659800 18.447 0.032
2457548.716160 18.436 0.030
2457548.756140 18.408 0.029
2457548.800560 18.426 0.031
2457548.839070 18.429 0.036
2457549.634020 18.465 0.116
2457549.690040 18.391 0.026
2457549.729450 18.394 0.031
2457549.765350 18.416 0.029
2457549.813390 18.430 0.032
2457549.850170 18.403 0.033
2457549.894750 18.460 0.050
2457550.552400 18.423 0.046
2457550.583360 18.321 0.045
2457550.616790 18.416 0.043
2457550.662040 18.390 0.043
2457550.698340 18.319 0.223
2457550.805880 18.389 0.049
2457550.852010 18.377 0.046
2457551.649250 18.328 0.030
2457551.693990 18.315 0.040
2457551.735340 18.327 0.030
2457551.770080 18.313 0.034
2457554.542200 18.266 0.106
2457554.567260 18.093 0.043
2457554.605570 18.121 0.032
2457554.647790 18.126 0.030
2457554.694770 18.050 0.061
2457554.781400 18.119 0.034
2457554.816250 18.105 0.035
2457555.529130 18.028 0.038
2457555.579020 18.037 0.027
2457555.616470 18.065 0.028
2457555.667470 18.057 0.027
2457555.707910 18.021 0.027
2457555.753110 18.014 0.027
2457555.800960 18.028 0.026
2457555.837460 18.028 0.027
2457556.673340 17.857 0.037
2457556.697210 17.873 0.092
2457556.737340 17.935 0.062
2457557.514230 17.563 0.025
2457557.560710 17.565 0.021
2457557.607570 17.519 0.020
2457557.642690 17.481 0.019
2457557.690260 17.439 0.017
2457557.729610 17.384 0.018
2457557.764870 17.342 0.018
2457557.813000 17.223 0.017
2457557.848610 17.108 0.019
2457558.510680 17.302 0.033
2457558.541820 17.095 0.026
2457558.582810 16.529 0.022
2457558.619220 16.919 0.050
2457558.665770 19.049 0.091
2457558.702980 18.958 0.108
2457558.740430 19.038 0.134
2457558.832850 18.971 0.296
2457559.563980 18.954 0.247
2457559.609650 18.819 0.159
2457559.645090 19.057 0.184
2457559.712660 18.994 0.193
2457559.748890 18.935 0.208
