event,class,param,truth,exozippy,exo_err_hi,exo_err_lo,exo_pull,mmxf_sol0,mmxf_err_sol0,mmxf_pull_sol0,mmxf_sol1,mmxf_err_sol1,mmxf_pull_sol1,mmxf_sol2,mmxf_err_sol2,mmxf_pull_sol2,mmxf_sol3,mmxf_err_sol3,mmxf_pull_sol3,mmxf_sol4,mmxf_err_sol4,mmxf_pull_sol4,mmxf_sol5,mmxf_err_sol5,mmxf_pull_sol5,note
152,omcassan,t_0,2458766.344168127,,2458766.366,0.036,,2458766.3412112403,,,2458766.3412112403,,,2458766.3412112403,,,2458766.3412112403,,,2458766.3412112403,,,2458766.3412112403,,,
152,omcassan,u_0,1.26454,,1.49,0.16,,1.3354259633855856,,,1.3354259633855856,,,1.3354259633855856,,,1.3354259633855856,,,1.3354259633855856,,,1.3354259633855856,,,
152,omcassan,t_E,5.19301,,4.64,0.3,,5.0322816985064245,,,5.0322816985064245,,,5.0322816985064245,,,5.0322816985064245,,,5.0322816985064245,,,5.0322816985064245,,,
152,omcassan,rho,0.00356195,,,,,2.2893740488615544e-06,,,0.0020917946750372294,,,0.033457885133560926,,,0.001,,,0.03148860819516178,,,0.001,,,
152,omcassan,s,2.93375,,1.01,0.79,,3.064592774698058,,,3.0703735126372957,,,0.3245881865501305,,,0.32952734331051414,,,0.32768550598871543,,,0.32641261462301446,,,
152,omcassan,q,1.65609e-06,,2.1e-05,2.1e-05,,5.3403387155389665e-06,,,1.9506268954798433e-07,,,0.0030628129270718223,,,0.004,,,0.0024653633550371853,,,0.004,,,
152,omcassan,alpha,,,27.0,120.0,,150.87047418975163,,,150.84864487060275,,,323.5574148927077,,,323.2330563865895,,,-22.583648459501667,,,-21.535766645384,,,"no global mapping from the master file's alpha convention exists (measured over all 44 events); reported for the record, not compared"
152,omcassan,mulensinstrument.Roman_W149.err_scale,,,0.9975,0.0033,,,,,,,,,,,,,,,,,,,,
152,omcassan,mulensinstrument.Roman_Z087.err_scale,,,0.958,0.021,,,,,,,,,,,,,,,,,,,,
