2.455265841450000182e+06 18.398 0.004
2.455268876869999804e+06 18.400 0.004
2.455272786720000207e+06 18.394 0.004
2.455275906919999979e+06 18.391 0.004
2.455279773020000197e+06 18.395 0.005
2.455284911450000014e+06 18.396 0.004
2.455286901659999974e+06 18.395 0.004
2.455287773469999898e+06 18.395 0.004
2.455293910170000046e+06 18.402 0.004
2.455294896689999849e+06 18.397 0.003
2.455295906380000059e+06 18.390 0.003
2.455297789390000049e+06 18.395 0.004
2.455298828120000195e+06 18.392 0.004
2.455299812469999772e+06 18.401 0.003
2.455300924399999902e+06 18.400 0.004
2.455303902079999913e+06 18.398 0.004
2.455306917779999785e+06 18.392 0.004
2.455307918699999806e+06 18.400 0.004
2.455309704109999817e+06 18.393 0.004
2.455310722980000079e+06 18.394 0.004
2.455312829799999949e+06 18.400 0.004
2.455313864190000109e+06 18.395 0.004
2.455314792919999920e+06 18.398 0.004
2.455315738590000197e+06 18.399 0.004
2.455316681830000132e+06 18.403 0.005
2.455319826840000227e+06 18.394 0.006
2.455320732660000212e+06 18.397 0.004
2.455320930790000129e+06 18.393 0.004
2.455321873800000176e+06 18.388 0.004
2.455323784769999795e+06 18.404 0.004
2.455324721640000120e+06 18.398 0.004
2.455324916220000014e+06 18.389 0.004
2.455325831280000042e+06 18.397 0.004
2.455326761830000207e+06 18.398 0.004
2.455327646459999960e+06 18.397 0.004
2.455327903049999848e+06 18.396 0.004
2.455328834400000051e+06 18.394 0.004
2.455334698760000058e+06 18.399 0.004
2.455335724400000181e+06 18.388 0.003
2.455335918120000046e+06 18.396 0.004
2.455337824599999934e+06 18.383 0.004
2.455338825050000101e+06 18.390 0.004
2.455339856900000013e+06 18.388 0.004
2.455340783210000023e+06 18.392 0.004
2.455341626850000117e+06 18.395 0.004
2.455341924019999802e+06 18.393 0.004
2.455342749509999994e+06 18.386 0.004
2.455342945059999824e+06 18.398 0.007
2.455343771009999793e+06 18.390 0.005
2.455348665320000146e+06 18.393 0.004
2.455348918300000019e+06 18.402 0.005
2.455349847169999965e+06 18.389 0.004
2.455351642589999828e+06 18.401 0.004
2.455352644119999837e+06 18.397 0.004
2.455353624419999775e+06 18.397 0.004
2.455353899629999883e+06 18.396 0.004
2.455354910600000061e+06 18.397 0.005
2.455355864370000083e+06 18.402 0.005
2.455358642140000127e+06 18.395 0.003
2.455359581189999823e+06 18.401 0.004
2.455359816039999947e+06 18.395 0.004
2.455362671920000110e+06 18.396 0.004
2.455364645200000145e+06 18.390 0.004
2.455364834749999922e+06 18.394 0.004
2.455365761520000175e+06 18.401 0.004
2.455369744959999807e+06 18.400 0.004
